"atleta_scout_id","rodada_id","atleta_id","scout_id","quantidade_num"
1,1,37919,1,0
2,1,37919,5,0
3,1,37919,2,1
4,1,37919,14,0
7,1,37919,16,0
8,1,37919,13,0
9,1,37919,9,3
11,1,37919,3,2
13,1,37919,8,0
14,1,37919,18,1
15,1,37919,7,0
16,1,37919,17,1
17,1,37919,4,0
18,1,37919,15,0
19,1,37993,1,0
21,1,37993,14,0
22,1,37993,18,0
23,1,37993,17,0
24,1,37993,16,0
26,1,37993,5,0
27,1,37993,7,0
28,1,37993,13,0
30,1,37993,9,0
31,1,37993,3,0
32,1,37993,2,3
34,1,37993,8,0
35,1,37993,4,0
36,1,37993,15,0
37,1,38055,1,0
38,1,38055,2,0
39,1,38055,17,0
41,1,38055,5,0
42,1,38055,3,1
44,1,38055,8,0
46,1,38055,7,0
47,1,38055,16,1
48,1,38055,14,0
49,1,38055,18,0
50,1,38055,13,2
51,1,38055,9,0
53,1,38055,4,0
54,1,38055,15,0
55,1,49675,1,0
57,1,49675,7,0
58,1,49675,17,0
59,1,49675,5,0
60,1,49675,18,0
61,1,49675,3,0
63,1,49675,9,0
64,1,49675,8,0
65,1,49675,2,0
68,1,49675,16,0
69,1,49675,14,0
70,1,49675,13,0
71,1,49675,4,0
72,1,49675,15,0
73,1,50301,1,0
74,1,50301,9,1
75,1,50301,18,1
76,1,50301,2,2
77,1,50301,13,0
78,1,50301,16,0
80,1,50301,17,0
81,1,50301,8,1
82,1,50301,14,0
83,1,50301,7,3
84,1,50301,5,0
86,1,50301,3,5
89,1,50301,4,0
90,1,50301,15,0
91,1,50324,1,0
93,1,50324,16,0
94,1,50324,18,0
95,1,50324,13,0
97,1,50324,17,0
98,1,50324,2,0
99,1,50324,7,0
100,1,50324,14,0
101,1,50324,8,2
102,1,50324,9,1
103,1,50324,5,0
105,1,50324,3,2
107,1,50324,4,0
108,1,50324,15,0
109,1,50421,1,0
112,1,50421,17,1
113,1,50421,8,0
114,1,50421,5,0
116,1,50421,18,0
118,1,50421,16,0
119,1,50421,9,3
120,1,50421,2,1
121,1,50421,3,4
122,1,50421,7,0
123,1,50421,14,0
124,1,50421,13,0
125,1,50421,4,1
126,1,50421,15,0
127,1,50453,1,0
129,1,50453,16,0
130,1,50453,13,0
131,1,50453,18,0
133,1,50453,17,0
134,1,50453,8,1
135,1,50453,2,2
136,1,50453,5,0
137,1,50453,7,0
138,1,50453,3,3
141,1,50453,14,0
142,1,50453,9,0
143,1,50453,4,0
144,1,50453,15,0
145,1,60803,1,0
146,1,60803,8,2
147,1,60803,5,0
150,1,60803,13,0
151,1,60803,17,2
152,1,60803,14,0
153,1,60803,2,3
155,1,60803,16,0
157,1,60803,9,0
158,1,60803,7,0
159,1,60803,18,0
160,1,60803,3,1
161,1,60803,4,0
162,1,60803,15,0
163,1,62086,1,0
164,1,62086,13,0
166,1,62086,17,0
167,1,62086,18,0
169,1,62086,2,2
170,1,62086,5,0
172,1,62086,8,2
173,1,62086,14,0
175,1,62086,3,2
176,1,62086,16,0
177,1,62086,9,2
178,1,62086,7,0
179,1,62086,4,0
180,1,62086,15,0
181,1,62977,1,0
182,1,62977,18,0
183,1,62977,7,0
185,1,62977,8,2
186,1,62977,17,0
187,1,62977,3,4
188,1,62977,2,1
189,1,62977,14,0
191,1,62977,16,0
192,1,62977,13,0
194,1,62977,9,3
195,1,62977,5,0
197,1,62977,4,1
198,1,62977,15,0
199,1,68817,1,0
201,1,68817,5,0
202,1,68817,2,0
203,1,68817,17,0
206,1,68817,13,0
207,1,68817,16,0
208,1,68817,14,0
209,1,68817,9,1
210,1,68817,8,3
211,1,68817,18,1
212,1,68817,3,3
214,1,68817,7,0
215,1,68817,4,0
216,1,68817,15,0
217,1,68873,1,0
218,1,68873,14,0
219,1,68873,8,0
220,1,68873,5,0
221,1,68873,17,0
222,1,68873,3,2
224,1,68873,13,2
225,1,68873,7,0
226,1,68873,2,0
230,1,68873,16,2
231,1,68873,18,0
232,1,68873,9,0
233,1,68873,4,0
234,1,68873,15,0
235,1,68958,1,0
236,1,68958,9,1
237,1,68958,3,1
238,1,68958,7,0
239,1,68958,16,0
