"atleta_id","nome_txt","apelido_txt","preco_editorial_num","foto_txt"
36443,"Nelson de Jesus Silva","Dida",9.00,"http://s.glbimg.com/es/sde/f/2012/06/01/583a73c8c9a11338416a90e38c804148_FORMATO.jpeg"
36522,"Alexsandro de Souza","Alex",19.00,"http://s.glbimg.com/es/sde/f/2010/12/29/6130f7a00989b1b410337423ea086bf5_FORMATO.jpeg"
36540,"Juan Silveira dos Santos","Juan",15.00,"http://s.glbimg.com/es/sde/f/2010/12/30/804ea225337148abcf3d897835d66983_FORMATO.jpeg"
36612,"José Roberto da Silva Júnior","Zé Roberto",22.00,"http://s.glbimg.com/es/sde/f/2012/05/03/ef68d90faebdac4ae7133e22cbb5ee2b_FORMATO.jpeg"
36728,"Marcos Antônio de Lima","Índio",5.00,"http://s.glbimg.com/es/sde/f/2010/11/18/760bb34888d550a1ad79b65231916688_FORMATO.jpeg"
36775,"Marcos dos Santos Assunção","Marcos Assunção",5.00,"http://s.glbimg.com/es/sde/f/2010/11/18/d1aaa711c2c443c40bbc046990e29f91_FORMATO.jpeg"
36790,"Josué Anunciado de Oliveira","Josué",12.00,"http://s.glbimg.com/es/sde/f/2013/03/23/4e1045ce8d8428e86a7ec9300e706241_FORMATO.jpeg"
36792,"Clemerson de Araújo Soares","Araújo",16.00,"http://s.glbimg.com/es/sde/f/2011/08/10/b1281c2468694914c020d4a9bcd16e22_FORMATO.jpeg"
36802,"Ronaldo de Assis Moreira","Ronaldinho Gaúcho",25.00,"http://s.glbimg.com/es/sde/f/2010/12/07/d5f184e11148725f3057ab5f016bb9bd_FORMATO.jpeg"
36856,"Celso Juarez Roth","Celso Roth",3.00,"http://s.glbimg.com/es/sde/f/2010/11/18/8873abde4ad46200c20910f77ff5fb28_FORMATO.jpeg"
36934,"Muricy Ramalho","Muricy Ramalho",16.00,"http://s.glbimg.com/es/sde/f/2010/11/12/fce18c670c771a9a6defe6252652e85e_FORMATO.jpeg"
