,Algoritmo,Parametrização,Acuracia,Recall
0,KNN,N=11,0.5905575427875898,0.5905564126810332
1,KNN,N=5,0.589855180465509,0.5898546757577265
2,KNN,N=7,0.586856633628934,0.5868592295824417
3,KNN,N=9,0.5852699530516431,0.585273478325785
4,Decision Trees,Depth=6,0.5771639093822193,0.5771468919524212
5,Decision Trees,Depth=7,0.5769872320341805,0.5769733240431993
6,KNN,N=3,0.5757632213031274,0.575765191857861
7,Decision Trees,Depth=5,0.5745230643117968,0.5745259543124471
8,SVM,"Kernel rbf, gamma auto",0.5697707852050575,0.5697711889712835
9,Decision Trees,Depth=4,0.5669517102615693,0.5669318917035783
10,GaussianNB,Var smoothing 1e-7,0.5535624239262736,0.5535628079430647
11,GaussianNB,Var smoothing 1e-6,0.5535624239262736,0.5535628079430647
12,GaussianNB,Var smoothing 1e-5,0.5535624239262736,0.5535628079430647
13,GaussianNB,Var smoothing 1e-8,0.5535624239262736,0.5535628079430647
14,GaussianNB,Var smoothing 1e-9,0.5535624239262736,0.5535628079430647
15,SVM,Kernel linear,0.5500422286807264,0.5500385706464939
16,Decision Trees,Depth=3,0.5481037459323844,0.5480615139600856
17,SVM,Kernel polinomial grau 2,0.5470458553791888,0.5470487234360226
18,SVM,Kernel polinomial grau 3,0.545460106316914,0.5454716816801871
19,SVM,Kernel sigmoide,0.4992895645477805,0.49929328621908126
