,Algoritmo,Parametrização,R2,MAE,MSE
0,ridge_alpha_0.01_degree_2,"[('scaler', StandardScaler()), ('polynomial_features', PolynomialFeatures(include_bias=False)), ('linear_regression', Ridge(alpha=0.01))]",0.9627971623810787,0.10756294378764905,0.027849897410233117
1,polynomial_features_degree 2,"[('scaler', StandardScaler()), ('polynomial_features', PolynomialFeatures(include_bias=False)), ('linear_regression', LinearRegression())]",0.9669022937194766,0.1047383187939304,0.024972967860709194
2,ridge_alpha_0.5_degree_3,"[('scaler', StandardScaler()), ('polynomial_features', PolynomialFeatures(degree=3, include_bias=False)), ('linear_regression', Ridge(alpha=0.5))]",0.9578935012749401,0.10456601802385775,0.029541737761468862
3,ridge_alpha_0.01_degree_3,"[('scaler', StandardScaler()), ('polynomial_features', PolynomialFeatures(degree=3, include_bias=False)), ('linear_regression', Ridge(alpha=0.01))]",0.96307758722839,0.10264199553633169,0.027669859817677188
4,ridge_alpha_0.5_degree_2,"[('scaler', StandardScaler()), ('polynomial_features', PolynomialFeatures(include_bias=False)), ('linear_regression', Ridge(alpha=0.5))]",0.9679540008039028,0.10224940471904813,0.023944024662388284
5,ridge_alpha_0.1_degree_2,"[('scaler', StandardScaler()), ('polynomial_features', PolynomialFeatures(include_bias=False)), ('linear_regression', Ridge(alpha=0.1))]",0.9665867640994429,0.10180429816030638,0.02346854539328637
6,ridge_alpha_0.00_degree_3,"[('scaler', StandardScaler()), ('polynomial_features', PolynomialFeatures(degree=3, include_bias=False)), ('linear_regression', Ridge(alpha=0.0))]",0.96581506363959,0.10153809150918898,0.02382818960668685
7,ridge_alpha_1.0_degree_2,"[('scaler', StandardScaler()), ('polynomial_features', PolynomialFeatures(include_bias=False)), ('linear_regression', Ridge())]",0.967036110466949,0.10116400884092307,0.02237807886026883
8,ridge_alpha_0.1_degree_3,"[('scaler', StandardScaler()), ('polynomial_features', PolynomialFeatures(degree=3, include_bias=False)), ('linear_regression', Ridge(alpha=0.1))]",0.9345592158826425,0.10031563238848583,0.04841118404609042
9,ridge_alpha_0.00_degree_2,"[('scaler', StandardScaler()), ('polynomial_features', PolynomialFeatures(include_bias=False)), ('linear_regression', Ridge(alpha=0.0))]",0.9682927904545621,0.10016460512465371,0.02260009183639924
10,polynomial_features_degree 3,"[('scaler', StandardScaler()), ('polynomial_features', PolynomialFeatures(degree=3, include_bias=False)), ('linear_regression', LinearRegression())]",0.9667931873384885,0.09967359733803599,0.022129250740792937
11,ridge_alpha_1.0_degree_3,"[('scaler', StandardScaler()), ('polynomial_features', PolynomialFeatures(degree=3, include_bias=False)), ('linear_regression', Ridge())]",0.9702069263118794,0.09751784859194745,0.021153782942434658
