,Algoritmo,Parametrização,Acuracia,Recall
0,KNN,N=3,0.831090613130765,0.8310905339617175
1,KNN,N=5,0.7883884970157352,0.7883869626761444
2,KNN,N=7,0.7718936516549104,0.771891641406469
3,KNN,N=9,0.7640803038524145,0.7640790567641981
4,KNN,N=11,0.7556701030927835,0.7556691773772258
5,Decision Trees,Depth=7,0.7480737927292458,0.7480739246457094
6,Decision Trees,Depth=6,0.7413998914812805,0.741400639689482
7,Decision Trees,Depth=5,0.7358654367878458,0.7358631804060944
8,Decision Trees,Depth=4,0.7327726532826913,0.7327720152338422
9,SVM,"Kernel rbf, gamma auto",0.7326098752034726,0.7326082655606351
10,Decision Trees,Depth=3,0.7325556158437332,0.7325543889151893
11,SVM,Kernel linear,0.7229517091698316,0.7229497433940756
12,SVM,Kernel polinomial grau 3,0.7029300054259359,0.7029297707622338
13,SVM,Kernel sigmoide,0.6603906673901248,0.6603883004656355
14,SVM,Kernel polinomial grau 2,0.649755832881172,0.6497594687468352
15,GaussianNB,Var smoothing 1e-8,0.6121540965816603,0.6121523925941105
16,GaussianNB,Var smoothing 1e-7,0.6121540965816603,0.6121523925941105
17,GaussianNB,Var smoothing 1e-6,0.6121540965816603,0.6121523925941105
18,GaussianNB,Var smoothing 1e-5,0.6121540965816603,0.6121523925941105
19,GaussianNB,Var smoothing 1e-9,0.6121540965816603,0.6121523925941105
