,Algoritmo,Parametrização,Acuracia,Recall
0,KNN,N=3,0.8903292806484295,0.8903923541247487
1,Decision Trees,Depth=7,0.8739564336372846,0.8740543259557343
2,KNN,N=5,0.868257345491388,0.8683098591549296
3,KNN,N=7,0.855450861195542,0.8555633802816901
4,Decision Trees,Depth=6,0.8547467071935158,0.8548591549295775
5,Decision Trees,Depth=5,0.8397416413373859,0.8398490945674044
6,KNN,N=9,0.8376443768996958,0.8377766599597585
7,Decision Trees,Depth=4,0.8319148936170213,0.8319718309859155
8,SVM,"Kernel rbf, gamma auto",0.8297872340425532,0.8298692152917505
9,KNN,N=11,0.8219706180344477,0.8220925553319921
10,Decision Trees,Depth=3,0.8169655521783181,0.8170623742454728
11,SVM,Kernel polinomial grau 3,0.805562310030395,0.8056338028169014
12,SVM,Kernel linear,0.8034498480243162,0.8035613682092556
13,GaussianNB,Var smoothing 1e-5,0.7863576494427559,0.7864285714285715
14,GaussianNB,Var smoothing 1e-6,0.7863576494427559,0.7864285714285715
15,GaussianNB,Var smoothing 1e-7,0.7863576494427559,0.7864285714285715
16,GaussianNB,Var smoothing 1e-8,0.7863576494427559,0.7864285714285715
17,GaussianNB,Var smoothing 1e-9,0.7863576494427559,0.7864285714285715
18,SVM,Kernel polinomial grau 2,0.762791286727457,0.7628068410462776
19,SVM,Kernel sigmoide,0.7308409321175279,0.7309356136820926
