,next_rodada_id,mandante,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total
0,14,Cuiabá,Botafogo,0.4586260750424117,1.4778835847042502,11.06,63.44,25.5,8.29,49.63,14.37,22.659999999999997,64.0
1,14,Grêmio,Palmeiras,0.709575523265327,1.1450613407573353,22.46,46.39,31.14,15.9,33.8,15.71,31.61,49.51
2,14,Bahia,Juventude,2.240303742000833,0.8432657758239657,69.08,12.74,18.18,38.0,6.07,4.46,42.46,10.530000000000001
3,14,Corinthians,Vitória,1.3837175956461578,0.868687821784988,48.67,23.57,27.77,31.2,14.59,10.46,41.66,25.05
4,14,Athletico-PR,São Paulo,1.4036809573105224,0.9309665478455523,47.89,24.85,27.26,29.6,14.96,10.04,39.64,25.0
5,14,Criciúma,Cruzeiro,1.0688933395381484,0.9857902152197702,37.16,32.38,30.46,24.62,21.34,12.88,37.5,34.22
6,14,Bragantino,Atlético-GO,1.0428910794268762,0.995991231019919,36.05,33.55,30.4,23.88,22.18,13.28,37.16,35.46
7,14,Fluminense,Internacional,0.9995227864322562,1.208766648468251,30.39,40.86,28.74,18.84,25.86,10.66,29.5,36.519999999999996
8,14,Atlético-MG,Flamengo,1.0317015576176345,1.5073978623840958,25.73,48.6,25.67,13.83,28.14,8.01,21.84,36.15
9,14,Vasco,Fortaleza,1.1895164706123373,1.5237085764917233,30.14,44.89,24.98,15.58,23.78,6.37,21.95,30.150000000000002
