,next_rodada_id,mandante,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,6,Internacional,Juventude,1.2983716905582696,0.42443892545998096,58.88,12.0,29.12,47.39,9.31,17.64,65.03,26.950000000000003,91.98
1,6,Atlético-MG,Grêmio,1.8373842919245362,0.44135783333331347,71.24,7.98,20.79,53.71,5.62,10.29,64.0,15.91,79.91
2,6,Palmeiras,Athletico-PR,0.4626705090049654,0.7399516676086932,20.61,37.76,41.63,17.5,32.59,30.38,47.879999999999995,62.97,110.85
3,6,São Paulo,Fluminense,0.9510126304812729,0.4894355274736881,45.4,18.27,36.33,37.27,14.96,23.89,61.160000000000004,38.85,100.01
4,6,Flamengo,Corinthians,1.1174935789313167,0.5276176931802183,50.17,17.21,32.62,39.91,13.24,19.36,59.269999999999996,32.6,91.87
5,6,Criciúma,Cuiabá,1.9025229343678802,0.6414996371604502,67.58,11.91,20.52,45.01,7.24,7.71,52.72,14.95,67.67
6,6,Bahia,Bragantino,1.4936014958657324,0.7496782608795911,55.15,18.91,25.95,36.45,11.89,10.64,47.09,22.53,69.62
7,6,Fortaleza,Botafogo,0.8698348433244973,1.4198941877111793,22.93,49.42,27.64,13.91,31.79,10.32,24.23,42.11,66.34
8,6,Atlético-GO,Cruzeiro,1.1031089178286493,1.3628730084747076,30.76,42.83,26.41,17.43,24.44,8.25,25.68,32.69,58.37
9,6,Vasco,Vitória,2.7267962521873415,1.1869479806628078,69.56,14.33,16.11,28.48,4.75,2.14,30.62,6.890000000000001,37.510000000000005
