,atleta_id,apelido,clube_id,xG_total,shots_total,jogos_num,goals_total,xG_per_match,xG_per_shot,shots_per_goal,clube,eficiência
0,63289,Edenílson,285,2.1615531354417645,22,13,7,0.16627331811090496,0.09825241524735294,3.142857142857143,Internacional,4.838446864558236
1,53148,Ytalo,280,4.3633359571371795,33,14,9,0.31166685408122713,0.13222230173142968,3.6666666666666665,Bragantino,4.6366640428628205
2,90285,Bruno Henrique,262,3.562502937090506,34,13,8,0.27403868746850046,0.10477949814972076,4.25,Flamengo,4.437497062909494
3,61188,Gilberto,265,5.633687163829651,50,21,10,0.2682708173252215,0.11267374327659302,5.0,Bahia,4.366312836170349
4,87098,Matheus Peixoto,286,2.3918854016545223,20,8,6,0.2989856752068153,0.11959427008272612,3.3333333333333335,Juventude,3.6081145983454777
5,108176,Gabriel Lacerda,354,0.5421586130010388,5,5,4,0.10843172260020777,0.10843172260020777,1.25,Ceará,3.457841386998961
6,101715,Alerrandro,280,0.7147939445184265,11,8,4,0.08934924306480331,0.06498126768349331,2.75,Bragantino,3.2852060554815736
7,39148,Hulk,282,6.056969659686818,64,18,9,0.3364983144270454,0.09464015093260653,7.111111111111111,Atlético-MG,2.9430303403131823
8,74034,Rodallega,265,2.0935181862632435,18,6,5,0.3489196977105406,0.11630656590351353,3.6,Bahia,2.9064818137367565
9,100652,Yuri Alberto,285,8.294411685754644,63,20,11,0.41472058428773223,0.13165732834531182,5.7272727272727275,Internacional,2.7055883142453556
10,83257,Gabriel,262,3.3173452984272087,27,9,6,0.36859392204746766,0.12286464068248922,4.5,Flamengo,2.6826547015727913
11,94916,Nacho Fernández,282,2.3535978945107563,25,11,5,0.2139634449555233,0.09414391578043026,5.0,Atlético-MG,2.6464021054892437
12,95638,Marcelo Benevenuto,356,1.4824223319472556,9,7,4,0.21177461884960794,0.16471359243858397,2.25,Fortaleza,2.5175776680527444
13,38588,Elton,1371,3.5955898636574246,32,15,6,0.23970599091049496,0.11236218323929452,5.333333333333333,Cuiabá,2.4044101363425754
14,110303,Igor Torres,356,0.7900474843135461,11,7,3,0.11286392633050658,0.07182249857395874,3.6666666666666665,Fortaleza,2.209952515686454
15,69141,Ricardo Bueno,286,2.8193779442979428,28,9,5,0.3132642160331047,0.10069206943921225,5.6,Juventude,2.1806220557020572
16,72389,Mike,315,2.8982721657004613,21,11,5,0.26347928779095103,0.13801296027145055,4.2,Chapecoense,2.1017278342995387
17,89898,Róger Guedes,264,1.9883108749542153,22,9,4,0.22092343055046837,0.09037776704337343,5.5,Corinthians,2.011689125045785
18,99392,Michael,262,3.99330009454893,40,16,6,0.24958125590930813,0.09983250236372325,6.666666666666667,Flamengo,2.00669990545107
19,111682,Adson,264,1.0076147591343767,10,4,3,0.2519036897835942,0.10076147591343768,3.3333333333333335,Corinthians,1.9923852408656233
20,84817,Robson,356,5.030420960749488,47,21,7,0.23954385527378516,0.10703023320743592,6.714285714285714,Fortaleza,1.9695790392505117
21,93988,Breno Lopes,275,2.0856532915174126,16,10,4,0.20856532915174125,0.1303533307198383,4.0,Palmeiras,1.9143467084825874
22,94583,Pedro,262,4.122760938233215,34,15,6,0.27485072921554765,0.1212576746539181,5.666666666666667,Flamengo,1.877239061766785
23,42116,Willian,275,2.1256497798619516,14,10,4,0.21256497798619517,0.15183212713299654,3.5,Palmeiras,1.8743502201380484
24,38138,Jô,264,4.1485179689870435,29,16,6,0.2592823730616902,0.1430523437581739,4.833333333333333,Corinthians,1.8514820310129565
25,98672,Savarino,282,2.2507922353995324,24,11,4,0.20461747594541205,0.09378300980831385,6.0,Atlético-MG,1.7492077646004676
26,97780,Dawhan,286,0.2846514493784293,4,3,2,0.09488381645947642,0.07116286234460732,2.0,Juventude,1.7153485506215707
27,99440,Baralhas,373,1.331884939684369,16,13,3,0.10245268766802838,0.08324280873027307,5.333333333333333,Atlético-GO,1.668115060315631
28,51772,Everton Ribeiro,262,1.3635640521994408,13,9,3,0.15150711691104898,0.10488954247688007,4.333333333333333,Flamengo,1.6364359478005592
29,95794,Nathan Silva,282,1.3646564318663783,10,9,3,0.15162849242959758,0.13646564318663784,3.3333333333333335,Atlético-MG,1.6353435681336217
30,73896,Geuvânio,315,1.4078644010180534,13,9,3,0.15642937789089484,0.10829726161677335,4.333333333333333,Chapecoense,1.5921355989819466
31,37674,Wagner,286,0.44582981593793114,5,4,2,0.11145745398448278,0.08916596318758623,2.5,Juventude,1.5541701840620687
32,92696,Renato Kayzer,293,2.4571096180116254,19,11,4,0.22337360163742048,0.12932155884271712,4.75,Athlético-PR,1.5428903819883746
33,91708,Nino,266,0.47872565588786176,3,3,2,0.15957521862928725,0.15957521862928725,1.5,Fluminense,1.5212743441121384
