,index,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,0,64.98860784313726,1,64.53588235294117,1,65.44133333333333,1
1,1,56.817058823529415,2,62.18117647058824,2,51.45294117647059,2
2,3,50.24611111111111,3,51.382222222222225,4,49.11,4
3,13,47.99288235294118,4,44.61176470588235,14,51.374,3
4,7,44.55088235294117,5,49.50235294117647,8,39.59941176470588,8
5,4,44.314232026143785,6,50.65235294117647,5,37.97611111111111,11
6,5,44.101764705882346,7,49.81588235294117,6,38.387647058823525,9
7,6,43.936879084967316,8,49.52764705882353,7,38.34611111111111,10
8,10,43.62725490196078,9,46.98117647058824,11,40.273333333333326,7
9,2,43.42208333333334,10,53.09250000000001,3,33.75166666666667,15
10,8,41.96045955882353,11,49.17529411764706,9,34.745625000000004,14
11,12,41.8205625,12,46.508,13,37.133125,12
12,17,41.27825,13,38.5425,18,44.014,5
13,11,38.781875,14,46.745000000000005,12,30.81875,17
14,18,38.7463025210084,15,36.051428571428566,19,41.44117647058823,6
15,16,38.175000000000004,16,39.375,17,36.97500000000001,13
16,9,38.11833333333333,17,48.534,10,27.702666666666666,20
17,14,37.42012867647059,18,43.724374999999995,15,31.115882352941185,16
18,15,35.33296078431373,19,42.20058823529412,16,28.465333333333334,19
19,19,29.203363970588235,20,28.67235294117647,20,29.734375,18
