,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,slug,apelido,apelido_abreviado,nome,foto,status
0,"{'CA': 2, 'DS': 4, 'FC': 6, 'FF': 1, 'FS': 7, 'PI': 27, 'SG': 3}",89493,10,282,3,7,0.0,5.14,0.0,2.72,5,igor-rabello,Igor Rabello,I. Rabello,Igor Rabello da Costa,https://s.glbimg.com/es/sde/f/2021/05/02/a3c5d8522641cc6e0c6c72d9dbcc14fd_FORMATO.png,Provável
1,"{'DS': 1, 'FD': 2, 'FS': 4, 'PI': 6}",71691,10,265,4,6,0.0,3.86,-0.13,0.53,9,oscar-ruiz,Óscar Ruíz,Ã. Ruíz,Óscar Ramón Ruiz Roa,https://s.glbimg.com/es/sde/f/2021/04/19/e850cf4d6cfc215e774c04bf144994e4_FORMATO.png,Nulo
2,"{'DS': 21, 'FC': 10, 'FF': 1, 'FS': 4, 'PI': 60, 'SG': 3}",38750,10,262,2,7,-0.3,6.59,-0.67,3.47,8,filipe-luis,Filipe Luís,F. Luís,Filipe Luís Kasmirski,https://s.glbimg.com/es/sde/f/2021/05/01/d86e6ac0aeabadf61f4625bb2f705863_FORMATO.png,Provável
3,"{'FD': 1, 'FF': 1, 'PI': 2}",70360,10,282,5,7,-0.1,4.79,-0.18,0.6,3,eduardo-sasha,Eduardo Sasha,E. Sasha,Eduardo Colcenti Antunes,https://s.glbimg.com/es/sde/f/2021/04/23/c4219f6ceb958aef5f871e8ecf08b6a5_FORMATO.png,Provável
4,{},82792,10,280,6,7,3.13,13.59,-0.41,5.33,10,mauricio-barbieri,Maurício Barbieri,M. Barbieri,Maurício Nogueira Barbieri,https://s.glbimg.com/es/sde/f/2021/04/27/1cc4a56a4aefc5902e503c4834666651_FORMATO.png,Provável
5,"{'DS': 6, 'FC': 2, 'FD': 1, 'FF': 3, 'FS': 4, 'G': 1, 'PI': 53, 'SG': 2}",71602,10,327,2,7,0.8,5.85,-1.84,3.88,6,joao-paulo,João Paulo,J. Paulo,João Paulo Gomes da Costa,https://s.glbimg.com/es/sde/f/2021/06/04/71c98de1e3ed4f97ef1a68c10b697126_FORMATO.png,Provável
6,"{'A': 1, 'CA': 1, 'DS': 10, 'FC': 5, 'FD': 1, 'FF': 2, 'FS': 4, 'I': 1, 'PI': 61, 'SG': 2}",68808,10,265,2,7,5.2,8.06,-0.85,3.74,5,nino-paraiba,Nino Paraíba,N. Paraíba,Severino do Ramo Clementino da Silva,https://s.glbimg.com/es/sde/f/2021/04/19/ca9f764ab6737639cb0b1773cb5cbc1c_FORMATO.png,Provável
7,{},37245,10,354,6,7,5.18,8.88,0.12,3.25,10,guto-ferreira,Guto Ferreira,G. Ferreira,Augusto Sérgio Ferreira,https://s.glbimg.com/es/sde/f/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,Provável
8,"{'CA': 1, 'DE': 29, 'FS': 2, 'GS': 8, 'SG': 3}",93882,10,280,1,7,0.0,8.09,-0.8,3.89,9,cleiton,Cleiton,Cleiton,Cleiton Schwengber,https://s.glbimg.com/es/sde/f/2020/08/11/56999db7c665007bbfe8c1e1b0e76f8d_FORMATO.png,Provável
9,"{'DS': 31, 'FC': 10, 'FD': 4, 'FF': 1, 'FS': 12, 'PI': 114, 'SG': 4}",42500,10,264,2,7,6.1,12.37,0.14,4.62,10,fagner,Fagner,Fagner,Fagner Conserva Lemos,https://s.glbimg.com/es/sde/f/2020/07/21/86994a3b5f98e1f43ef23a09d56aa65c_FORMATO.png,Provável
10,"{'A': 2, 'CA': 1, 'DS': 36, 'FC': 16, 'FD': 1, 'FF': 4, 'FS': 22, 'PI': 44}",92496,10,280,4,5,7.1,8.96,-0.09,5.87,8,raul,Raul,Raul,Raul Lô Gonçalves,https://s.glbimg.com/es/sde/f/2020/08/28/8c0a624b6d2595beaf51682261e51ccd_FORMATO.png,Contundido
11,"{'A': 4, 'CA': 1, 'DS': 11, 'FC': 9, 'FD': 9, 'FF': 15, 'FS': 16, 'G': 3, 'PI': 99}",95799,10,280,5,7,2.1,15.81,-1.47,6.94,10,artur,Artur,Artur,Artur Victor Guimarães,https://s.glbimg.com/es/sde/f/2020/07/28/e1784a425e398f05dd3d8f178a3ddaf6_FORMATO.png,Provável
12,"{'DS': 19, 'FC': 1, 'FD': 1, 'FF': 1, 'FS': 2, 'PI': 29, 'SG': 2}",97867,10,280,3,6,0.0,10.08,0.0,4.77,6,leo-ortiz,Léo Ortiz,L. Ortiz,Leonardo Rech Ortiz,https://s.glbimg.com/es/sde/f/2020/07/28/090452058da707cf73facf6249235bfb_FORMATO.png,Nulo
