,apelido,atleta_id,clube,posicao,media_casa,media_fora
0,0,97520,São Paulo,MEI,-3.2,2.6
1,Abel Ferreira,110506,Palmeiras,TEC,5.81,4.0200000000000005
2,Abel Hernández,74159,Fluminense,ATA,3.9,-0.16666666666666666
3,Abner Vinícius,104513,Athlético-PR,LAT,2.6,7.5
4,Ademir,101314,América-MG,ATA,8.725,8.466666666666667
5,Aderlan,88423,Bragantino,LAT,6.75,3.766666666666667
6,Adson,111682,Corinthians,MEI,-0.6,0.0
7,Alan Empereur,88033,Cuiabá,ZAG,5.55,1.9666666666666666
8,Alan Ruschel,63110,América-MG,LAT,-0.2,0.0
9,Alan Santos,70132,Chapecoense,MEI,-1.45,-0.2
10,Alberto Valentim,84863,Athlético-PR,TEC,2.1725,3.3433333333333337
11,Alerrandro,101715,Bragantino,ATA,0.35,3.275
12,Alisson,81845,Grêmio,MEI,0.7000000000000001,1.8666666666666665
13,Allan,96652,Atlético-MG,MEI,1.3666666666666665,2.766666666666667
14,Alê,86388,América-MG,MEI,4.5249999999999995,7.433333333333334
15,Anderson Conceição,71618,Cuiabá,ZAG,2.5,0.0
16,Anderson Jesus,90700,América-MG,ZAG,1.5666666666666667,0.0
17,Anderson Leite,87691,Chapecoense,MEI,4.25,2.6666666666666665
18,Andreas Pereira,89274,Flamengo,MEI,3.8666666666666667,3.05
19,André,107498,Fluminense,MEI,2.6500000000000004,3.6999999999999997
20,André Luís,92146,Atlético-GO,ATA,1.4000000000000001,1.0
21,Anselmo Ramon,69214,Chapecoense,ATA,1.0,-3.0
22,Arboleda,91573,São Paulo,ZAG,6.6,3.8333333333333335
23,Arias,99815,Fluminense,MEI,3.0,0.3999999999999999
24,Arnaldo,78497,Atlético-GO,LAT,3.75,0.7333333333333334
25,Artur,95799,Bragantino,ATA,7.333333333333333,-0.5
26,Auremir,77570,Cuiabá,MEI,-2.0,2.95
27,Baralhas,99440,Atlético-GO,MEI,0.9500000000000001,5.6
28,Bento,105208,Athlético-PR,GOL,0.0,1.0
29,Benítez,93550,São Paulo,MEI,-0.7000000000000001,3.025
30,Betinho,82876,Sport,MEI,0.0,0.0
31,Bissoli,100762,Athlético-PR,ATA,1.4000000000000001,-0.7000000000000001
32,Borrero,106843,Atlético-MG,MEI,0.0,2.2
33,Boschilia,86841,Internacional,MEI,1.2,1.0499999999999998
34,Brenno,100830,Grêmio,GOL,1.3333333333333333,0.5
35,Breno Lopes,93988,Palmeiras,ATA,2.466666666666667,2.333333333333333
36,Bruno Alves,73620,São Paulo,ZAG,2.1,1.8
37,Bruno Cortez,72079,Grêmio,LAT,3.9,-0.95
38,Bruno Henrique,90285,Flamengo,ATA,5.966666666666666,10.549999999999999
39,Bruno Melo,84339,Fortaleza,LAT,2.1,2.0250000000000004
40,Bruno Méndez,103700,Internacional,ZAG,5.6,0.20000000000000004
41,Bruno Nazário,81776,América-MG,MEI,-0.2,-1.7
42,Bruno Pacheco,90061,Ceará,LAT,3.6000000000000005,4.0
43,Bruno Silva,101422,Chapecoense,ATA,4.15,0.4
44,Bruno Viana,92291,Flamengo,ZAG,5.3,1.7500000000000002
45,Busanello,97537,Chapecoense,LAT,1.0,0.9999999999999999
46,Caio Paulista,102318,Fluminense,ATA,2.3000000000000003,0.5333333333333333
47,Calleri,89840,São Paulo,ATA,6.7,0.19999999999999998
48,Camacho,68770,Santos,MEI,0.8500000000000001,1.65
49,Camilo,104519,Cuiabá,MEI,0.9,1.025
50,Campaz,105102,Grêmio,MEI,4.05,0.0
51,Cantillo,85315,Corinthians,MEI,6.3,4.2
52,Capixaba,94894,Juventude,ATA,-0.07499999999999998,2.15
53,Carlos Eduardo,90917,Athlético-PR,ATA,-0.10000000000000009,2.1
54,Carlos Sánchez,81677,Santos,MEI,3.1333333333333333,-0.26666666666666666
55,Cazares,81682,Fluminense,MEI,2.5500000000000003,-0.7
56,Chico,82407,Juventude,MEI,-0.4000000000000001,0.5
57,Chico,99253,Sport,ZAG,5.4,1.4
58,Christian,104502,Athlético-PR,MEI,0.5,0.9333333333333332
59,Churín,98289,Grêmio,ATA,-0.3,-0.6
60,Clayson,83817,Cuiabá,ATA,3.4000000000000004,1.65
61,Cleiton,93882,Bragantino,GOL,5.666666666666667,3.8333333333333335
62,Cléber,104125,Ceará,ATA,0.26666666666666666,0.65
63,Conti,100943,Bahia,ZAG,7.75,2.3499999999999996
64,Cuca,42411,Atlético-MG,TEC,6.05,4.743333333333333
65,Cuello,98909,Bragantino,ATA,5.0,4.733333333333333
66,Cássio,42234,Corinthians,GOL,4.5,0.5
67,Daniel,93791,Bahia,MEI,0.85,1.3250000000000002
68,Daniel Guedes ,88225,Fortaleza,LAT,5.7,0.0
69,Danilo,107231,Palmeiras,MEI,-0.19999999999999987,1.0999999999999999
70,Danilo Barbosa,86777,Palmeiras,MEI,0.7,2.033333333333333
71,Danilo Barcelos,84382,Fluminense,LAT,0.0,-1.4
72,Danilo Boza,101431,Santos,ZAG,3.075,5.466666666666666
73,Danilo Fernandes,69051,Bahia,GOL,8.25,5.0
74,David,90309,Fortaleza,ATA,4.9,3.5666666666666664
75,David Braz,50317,Fluminense,ZAG,3.1999999999999997,2.033333333333333
76,David Luiz,52827,Flamengo,ZAG,5.5,5.9
77,Dawhan,97780,Juventude,MEI,6.6499999999999995,0.39999999999999997
78,Denner,102038,Chapecoense,MEI,1.2999999999999998,1.0333333333333334
79,Depietri,114138,Fortaleza,ATA,2.766666666666667,-2.45
80,Deyverson,92708,Palmeiras,ATA,2.2,-2.1
81,Diego,38909,Flamengo,MEI,-0.2499999999999999,2.2
82,Diego,101728,São Paulo,ZAG,2.25,0.0
83,Diego Aguirre,73766,Internacional,TEC,3.5,1.5474999999999999
84,Diego Alves,38509,Flamengo,GOL,5.5,0.0
85,Diego Costa,70316,Atlético-MG,ATA,5.766666666666667,1.2000000000000002
86,Diego Souza,68911,Grêmio,ATA,7.566666666666666,1.1
87,Diego Tardelli,38231,Santos,ATA,1.9333333333333333,3.35
88,Diogo Giacomini,93317,América-MG,TEC,5.04,0.0
89,Dodô,68727,Atlético-MG,LAT,5.0,7.9
90,Douglas Borel,104634,Bahia,LAT,7.0,0.0
91,Douglas Costa,62020,Grêmio,ATA,6.0,0.7
92,Douglas Friedrich,78584,Juventude,GOL,4.0,5.0
93,Du Queiroz,113687,Corinthians,MEI,0.9666666666666665,0.12499999999999994
94,Dudu,68920,Palmeiras,ATA,3.266666666666667,1.0999999999999999
95,Dudu,97133,Atlético-GO,LAT,4.0,3.9000000000000004
96,Edenílson,63289,Internacional,MEI,3.6999999999999997,-1.1749999999999998
97,Eder,91521,São Paulo,ATA,1.0,-1.0666666666666667
98,Edimar,62024,Bragantino,LAT,3.6333333333333333,2.5
99,Edinho,80193,Fortaleza,ATA,-0.2,0.45
100,Eduardo Bauermann,86970,América-MG,ZAG,4.0,3.0
101,Eduardo Souza,88406,Atlético-GO,TEC,5.2,1.145
102,Elias,107795,Grêmio,ATA,0.6000000000000001,0.3
103,Elton,38588,Cuiabá,ATA,3.7,0.75
104,Eric Ramires,103295,Bragantino,MEI,-0.7333333333333333,1.5
105,Erick,97810,Ceará,ATA,4.766666666666667,2.6
