,mandante,visitante,odds_mandante,odds_empate,odds_visitante
1,Bragantino,Atlético-GO,1.65,4.0,5.23
6,Fortaleza,Grêmio,1.98,3.55,3.79
8,Internacional,América-MG,1.91,3.44,4.23
9,Cuiabá,Sport,2.27,3.03,3.55
11,Chapecoense,Fortaleza,4.32,3.51,1.88
12,América-MG,Bahia,1.84,3.73,4.24
14,Palmeiras,Internacional,1.94,3.69,3.82
15,Atlético-GO,Atlético-MG,6.27,4.02,1.56
16,Ceará,Bragantino,2.51,3.23,2.94
17,Grêmio,Juventude,1.63,3.71,6.01
18,Flamengo,Cuiabá,1.25,6.13,11.64
19,Sport,Santos,3.12,3.11,2.47
20,São Paulo,Corinthians,2.2,3.17,3.59
21,Bahia,Ceará,2.4,3.1,3.1
22,Santos,Fluminense,2.7,2.9,2.8
