,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_visitante
1585,Danilo Cardoso,101155,Goiás,ZAG,5.6,10.8,Palmeiras,visitante,4.25,7.525
1586,Moisés,90444,Internacional,LAT,3.55,7.275,Fortaleza,visitante,6.944444444444445,7.1097222222222225
1587,D'Alessandro,62023,Internacional,MEI,6.4,0.0,Fortaleza,visitante,6.944444444444445,6.944444444444445
1588,Braian Romero,101997,Internacional,ATA,0.4,0.0,Fortaleza,visitante,6.944444444444445,6.944444444444445
1589,Cauan de Almeida,107870,Internacional,TEC,3.97,0.0,Fortaleza,visitante,6.944444444444445,6.944444444444445
1590,Luan Cândido,100848,Bragantino,LAT,7.111111111111111,7.75,Atlético-GO,visitante,4.87,6.3100000000000005
1591,Mendoza,90031,Ceará,ATA,4.828571428571428,8.0625,Botafogo,visitante,4.444444444444445,6.253472222222222
1592,Carlos de Pena,87242,Internacional,ATA,2.422222222222222,5.4375,Fortaleza,visitante,6.944444444444445,6.190972222222222
1593,Renê,78445,Internacional,LAT,4.483333333333333,5.325,Fortaleza,visitante,6.944444444444445,6.134722222222223
1594,Heitor,104649,Internacional,LAT,10.05,4.9,Fortaleza,visitante,6.944444444444445,5.9222222222222225
1595,Mano Menezes,37281,Internacional,TEC,5.523750000000001,4.39,Fortaleza,visitante,6.944444444444445,5.667222222222222
1596,Pedro Raul,98225,Goiás,ATA,6.855555555555556,7.062499999999999,Palmeiras,visitante,4.25,5.65625
1597,Daniel,96468,Internacional,GOL,4.466666666666667,4.055555555555555,Fortaleza,visitante,6.944444444444445,5.5
1598,Bustos,96678,Internacional,LAT,5.242857142857142,3.9428571428571426,Fortaleza,visitante,6.944444444444445,5.443650793650794
1599,Vitão,97900,Internacional,ZAG,1.3800000000000001,3.8714285714285714,Fortaleza,visitante,6.944444444444445,5.407936507936508
1600,Alerrandro,101715,Bragantino,ATA,4.971428571428571,5.933333333333334,Atlético-GO,visitante,4.87,5.401666666666667
1601,Artur,95799,Bragantino,ATA,6.075,5.857142857142857,Atlético-GO,visitante,4.87,5.363571428571428
1602,Alan Patrick,68685,Internacional,MEI,7.5,3.7,Fortaleza,visitante,6.944444444444445,5.322222222222223
1603,Alemão,98219,Internacional,ATA,3.8,3.5555555555555554,Fortaleza,visitante,6.944444444444445,5.25
1604,Kaíque Rocha,103684,Internacional,ZAG,2.6,3.425,Fortaleza,visitante,6.944444444444445,5.184722222222222
1605,Edenílson,63289,Internacional,MEI,6.285714285714286,3.3777777777777778,Fortaleza,visitante,6.944444444444445,5.161111111111111
1606,Mercado,72951,Internacional,ZAG,2.1375,3.325,Fortaleza,visitante,6.944444444444445,5.134722222222223
