,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_mandante
1205,Matheuzinho,101727,Flamengo,LAT,16.4,2.766666666666667,Fortaleza,mandante,4.666666666666667,10.533333333333333
1206,Natan,107110,Bragantino,ZAG,14.9,0.8500000000000001,Internacional,mandante,3.25,9.075
1207,Praxedes,107744,Bragantino,MEI,13.5,0.95,Internacional,mandante,3.25,8.375
1208,Arrascaeta,87863,Flamengo,MEI,10.200000000000001,8.225,Fortaleza,mandante,4.666666666666667,7.433333333333334
1209,Abner Vinícius,104513,Athletico-PR,LAT,7.925,3.1999999999999997,Santos,mandante,5.333333333333333,6.629166666666666
1210,Terans,102878,Athletico-PR,MEI,7.9,-0.3,Santos,mandante,5.333333333333333,6.616666666666667
1211,Lima,96340,Ceará,MEI,8.15,3.025,Coritiba,mandante,4.75,6.45
1212,Lucas Ribeiro,103088,Ceará,ZAG,7.8,2.766666666666666,Coritiba,mandante,4.75,6.275
1213,Bento,105208,Athletico-PR,GOL,7.0,2.3,Santos,mandante,5.333333333333333,6.166666666666666
1214,Iago Maidana,89226,América-MG,ZAG,10.55,1.3250000000000002,Cuiabá,mandante,1.625,6.0875
1215,Bruno Henrique,90285,Flamengo,ATA,7.35,5.599999999999999,Fortaleza,mandante,4.666666666666667,6.008333333333333
1216,Marinho,68952,Flamengo,ATA,7.3,1.65,Fortaleza,mandante,4.666666666666667,5.983333333333333
1217,Muriqui,38225,Avaí,ATA,8.375,3.55,São Paulo,mandante,3.25,5.8125
1218,Raphael Veiga,94509,Palmeiras,MEI,9.325,2.75,Atlético-MG,mandante,2.25,5.7875
1219,Léo Ortiz,97867,Bragantino,ZAG,8.15,7.2,Internacional,mandante,3.25,5.7
1220,Luiz Felipe Scolari,43618,Athletico-PR,TEC,5.39,4.4799999999999995,Santos,mandante,5.333333333333333,5.361666666666666
1221,Pedro Rocha,90302,Athletico-PR,ATA,0.0,0.26666666666666666,Santos,mandante,5.333333333333333,5.333333333333333
1222,Paulo Sousa,89284,Flamengo,TEC,5.993333333333333,4.0975,Fortaleza,mandante,4.666666666666667,5.33
1223,Rodrigo Caio,73800,Flamengo,ZAG,5.9,1.05,Fortaleza,mandante,4.666666666666667,5.283333333333333
1224,Bissoli,100762,Avaí,ATA,7.300000000000001,1.866666666666667,São Paulo,mandante,3.25,5.275
1225,Orejuela,95352,Athletico-PR,LAT,5.199999999999999,2.8,Santos,mandante,5.333333333333333,5.266666666666666
