,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Palmeiras,78.55458333333333,1,75.98249999999999,2,81.12666666666667,1
1,Atlético-MG,66.9255,2,73.526,3,60.325,3
2,Coritiba,65.98625000000001,3,91.635,1,40.337500000000006,14
3,Corinthians,61.88000000000001,4,60.65500000000001,9,63.105000000000004,2
4,Flamengo,60.54958333333333,5,71.92666666666666,4,49.1725,7
5,São Paulo,53.7275,6,65.9725,5,41.4825,11
6,Santos,53.292,7,64.584,6,42.0,10
7,Bragantino,52.61291666666667,8,62.873333333333335,7,42.352500000000006,9
8,Fluminense,50.37375,9,47.5925,15,53.155,4
9,Botafogo,49.59133333333334,10,49.196666666666665,13,49.986000000000004,5
10,Athletico-PR,49.35875,11,58.015,10,40.70249999999999,13
11,Internacional,47.5225,12,54.1075,11,40.9375,12
12,América-MG,44.901333333333326,13,61.34666666666666,8,28.456,19
13,Avaí,44.80875,14,50.864999999999995,12,38.752500000000005,16
14,Atlético-GO,42.099999999999994,15,48.16499999999999,14,36.035000000000004,17
15,Cuiabá,40.60875,16,31.472500000000004,19,49.745000000000005,6
16,Ceará,38.73833333333334,17,31.766666666666662,18,45.71000000000001,8
17,Goiás,37.738749999999996,18,42.8175,16,32.66,18
18,Juventude,36.64125,19,34.144999999999996,17,39.137499999999996,15
19,Fortaleza,29.508333333333333,20,31.200000000000003,20,27.816666666666666,20
