,clube,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora,Goal_geral,GoalA_geral,Goal_diff_casa,Goal_diff_fora,Goal_diff_geral
0,Palmeiras,1.9,0.7,1.5555555555555556,0.5555555555555556,1.7277777777777779,0.6277777777777778,1.2,1.0,1.1
1,Flamengo,2.2222222222222223,0.5555555555555556,1.0,1.3,1.6111111111111112,0.9277777777777778,1.6666666666666667,-0.30000000000000004,0.6833333333333333
2,Fluminense,2.1,1.1,1.2,1.0,1.65,1.05,1.0,0.19999999999999996,0.5999999999999999
3,Internacional,2.0,1.1,1.0,0.9,1.5,1.0,0.8999999999999999,0.09999999999999998,0.5
4,Bragantino,1.6363636363636365,0.8181818181818182,1.3333333333333333,1.4444444444444444,1.4848484848484849,1.1313131313131313,0.8181818181818182,-0.11111111111111116,0.3535353535353536
5,Santos,1.5454545454545454,0.9090909090909091,0.7777777777777778,0.7777777777777778,1.1616161616161615,0.8434343434343434,0.6363636363636364,0.0,0.3181818181818181
6,Athletico-PR,1.5,0.8,0.9,1.2,1.2,1.0,0.7,-0.29999999999999993,0.19999999999999996
7,Atlético-MG,1.5,1.0,1.1,1.3,1.3,1.15,0.5,-0.19999999999999996,0.15000000000000013
8,São Paulo,1.8888888888888888,1.3333333333333333,1.0,1.2727272727272727,1.4444444444444444,1.303030303030303,0.5555555555555556,-0.2727272727272727,0.14141414141414144
9,Corinthians,1.2,0.3,1.1,1.9,1.15,1.0999999999999999,0.8999999999999999,-0.7999999999999998,0.050000000000000044
10,Ceará,1.1,1.2,0.9,0.9,1.0,1.05,-0.09999999999999987,0.0,-0.050000000000000044
11,Goiás,1.3,1.1,0.9,1.4,1.1,1.25,0.19999999999999996,-0.4999999999999999,-0.1499999999999999
12,Fortaleza,0.4,0.6,1.2,1.6,0.8,1.1,-0.19999999999999996,-0.40000000000000013,-0.30000000000000004
13,Cuiabá,0.7,0.6,0.7,1.4,0.7,1.0,0.09999999999999998,-0.7,-0.30000000000000004
14,Botafogo,1.0,1.1111111111111112,0.8181818181818182,1.3636363636363635,0.9090909090909092,1.2373737373737375,-0.11111111111111116,-0.5454545454545453,-0.3282828282828283
15,América-MG,1.2,1.0,0.4,1.3,0.8,1.15,0.19999999999999996,-0.9,-0.34999999999999987
16,Coritiba,1.4,0.9,0.8,2.1,1.1,1.5,0.4999999999999999,-1.3,-0.3999999999999999
17,Avaí,1.6,1.4,0.5,1.9,1.05,1.65,0.20000000000000018,-1.4,-0.5999999999999999
18,Atlético-GO,1.0,0.9,0.8,2.1,0.9,1.5,0.09999999999999998,-1.3,-0.6
19,Juventude,0.6,1.3,0.8,1.9,0.7,1.6,-0.7000000000000001,-1.0999999999999999,-0.9000000000000001
