,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate
0,Ceará,20.0,Palmeiras,1.1358659528853914,1.4595818673934038,29.77,44.71,25.52,15.78,24.51,7.38
1,Goiás,20.0,Coritiba,1.3553006613851226,1.1386368729039527,41.53,32.03,26.43,23.71,17.8,8.43
2,Corinthians,20.0,Botafogo,1.2884922847441969,1.0797365133942454,40.91,31.46,27.63,24.37,17.87,9.46
3,Flamengo,20.0,Atlético-GO,1.8452187780457343,1.6430054342639335,43.02,34.58,22.41,16.11,12.87,3.06
4,Internacional,20.0,Atlético-MG,1.3927268958406545,1.5035004479113692,35.4,40.18,24.42,16.72,19.47,5.45
5,Athletico-PR,20.0,São Paulo,1.3202202961031135,1.2273786230648989,38.56,34.68,26.76,21.26,18.73,7.83
6,América-MG,20.0,Avaí,1.6592711440577994,1.1626853401559352,49.23,26.59,24.19,25.5,13.05,5.92
7,Cuiabá,20.0,Fortaleza,1.166844029171115,1.083745421499107,36.75,34.58,28.67,22.5,21.45,10.34
8,Bragantino,20.0,Juventude,1.648711663995075,1.0452442015298864,52.31,24.07,23.62,29.08,12.58,6.3
9,Santos,20.0,Fluminense,1.407427621722341,1.2739386678435944,40.14,33.8,26.06,21.27,17.46,7.14
