,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Avaí,23.0,Internacional,1.148708421468152,1.1726464858089924,34.62,37.47,27.91,20.91,22.7,9.88,30.79,32.58,63.37
1,Athletico-PR,23.0,América-MG,1.4930228044333653,1.131025813457445,45.65,28.39,25.96,25.25,15.25,7.23,32.480000000000004,22.48,54.96000000000001
2,Atlético-GO,23.0,Cuiabá,1.5467230399046699,1.2133911473630894,45.13,29.72,25.15,23.67,14.58,6.41,30.080000000000002,20.990000000000002,51.07000000000001
3,Fortaleza,23.0,Corinthians,1.3563210919431963,1.2291782916622218,39.6,33.62,26.78,21.41,18.3,7.69,29.1,25.990000000000002,55.09
4,Atlético-MG,23.0,Goiás,1.7120446173991855,1.2873539345797447,47.49,28.23,24.29,22.73,12.64,4.88,27.61,17.52,45.129999999999995
5,Juventude,23.0,Botafogo,1.5101388194717487,1.2941165190614772,42.59,32.01,25.41,21.25,15.48,6.0,27.25,21.48,48.730000000000004
6,Santos,23.0,São Paulo,1.3520904533528815,1.2989359228280017,38.45,35.2,26.35,20.17,18.37,7.04,27.21,25.41,52.620000000000005
7,Bragantino,23.0,Ceará,1.4237762890492127,1.439421811467457,37.5,38.09,24.4,18.0,18.26,5.59,23.59,23.85,47.44
8,Palmeiras,23.0,Flamengo,1.4559306307453355,1.6275088244124016,34.87,41.5,23.62,15.55,18.8,4.5,20.05,23.3,43.35
9,Fluminense,23.0,Coritiba,1.698067130265029,1.5170794536411631,42.62,34.58,22.8,18.2,14.36,4.28,22.48,18.64,41.120000000000005
