,mandante,rodada_id,visitante,xG_mandante,xG_visitante,result,sg_mandante,sg_visitante
0,Goiás,8.0,Bragantino,-0.399193577337945,-0.9351410465635952,empate,0.0,0.0
1,São Paulo,8.0,Ceará,-0.16424296769877755,0.9932398997702828,visitante,0.0,0.0
2,Fortaleza,8.0,Juventude,0.08015505914509369,0.2294292537673538,empate,0.0,0.0
3,Santos,8.0,Palmeiras,0.2821051724312762,0.7530731009257035,visitante,0.0,1.0
4,Coritiba,8.0,Botafogo,0.35331059786874586,0.665527889877094,visitante,0.0,0.0
5,Fluminense,8.0,Flamengo,0.0890430744597257,0.5591781304793816,visitante,0.0,1.0
6,Corinthians,8.0,América-MG,-0.9750200725521277,-0.3489729342144521,empate,0.0,0.0
7,Cuiabá,8.0,Athletico-PR,0.07973260428663964,-0.38370724218753327,empate,0.0,0.0
8,Atlético-MG,8.0,Avaí,0.5556655921843108,0.10519203130826438,mandante,1.0,0.0
9,Internacional,8.0,Atlético-GO,0.1570355424921428,-0.24312756128170676,empate,0.0,0.0
