,clube,xG_casa,xGA_casa,xG_fora,xGA_fora,xG_geral,xGA_geral,xG_diff_casa,xG_diff_fora,xG_diff_geral,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora,Goal_geral,GoalA_geral,Goal_diff_casa,Goal_diff_fora,Goal_diff_geral,xG_G_comp
0,América-MG,1.4951205936385212,1.0866277304681142,1.1017521231239924,1.772891250683841,1.2984363583812568,1.4297594905759776,0.408492863170407,-0.6711391275598486,-0.1313231321947208,1.1818181818181819,0.9090909090909091,0.5,1.0833333333333333,0.8409090909090909,0.9962121212121211,0.2727272727272728,-0.5833333333333333,-0.15530303030303017,0.4575272674721659
1,Atlético-GO,1.551920268153916,1.084101593938185,1.0491514441746943,1.6266259832625745,1.3005358561643052,1.3553637886003798,0.46781867421573087,-0.5774745390878802,-0.054827932436074533,1.0833333333333333,0.9166666666666666,0.7272727272727273,1.9090909090909092,0.9053030303030303,1.4128787878787878,0.16666666666666663,-1.1818181818181819,-0.5075757575757576,0.39523282586127495
2,Juventude,1.4378640194720127,1.1127197860882698,0.7320794068370012,1.7858490130536113,1.084971713154507,1.4492843995709406,0.3251442333837429,-1.0537696062166102,-0.36431268641643366,0.6666666666666666,1.3333333333333333,0.7272727272727273,1.8181818181818181,0.696969696969697,1.5757575757575757,-0.6666666666666666,-1.0909090909090908,-0.8787878787878787,0.3880020161848099
3,Cuiabá,1.219169309671955,0.9381907953409198,0.9140358647757191,1.324153720313136,1.066602587223837,1.1311722578270278,0.28097851433103516,-0.41011785553741686,-0.06456967060319085,0.7272727272727273,0.6363636363636364,0.6666666666666666,1.3333333333333333,0.696969696969697,0.9848484848484849,0.09090909090909094,-0.6666666666666666,-0.28787878787878785,0.3696328902541399
4,Fortaleza,1.514947505372137,0.8891615944589081,1.0400064998422103,1.3098306842671525,1.2774770026071738,1.0994961393630303,0.625785910913229,-0.26982418442494227,0.17798086324414353,0.6666666666666666,0.5,1.1818181818181819,1.4545454545454546,0.9242424242424243,0.9772727272727273,0.16666666666666663,-0.2727272727272727,-0.05303030303030298,0.3532345783647495
5,Atlético-MG,1.7481547810173739,0.6943418744456652,1.456192033837645,1.0154673148801288,1.6021734074275096,0.854904594662897,1.0538129065717086,0.4407247189575163,0.7472688127646125,1.4166666666666667,1.1666666666666667,1.0909090909090908,1.1818181818181819,1.253787878787879,1.1742424242424243,0.25,-0.09090909090909105,0.07954545454545459,0.3483855286396307
6,Ceará,1.1067823873567624,1.2711151398596134,1.2652771058073204,1.3862426892192492,1.1860297465820415,1.3286789145394313,-0.16433275250285106,-0.12096558341192876,-0.1426491679573898,1.0,1.1818181818181819,0.9166666666666666,0.9166666666666666,0.9583333333333333,1.0492424242424243,-0.18181818181818188,0.0,-0.09090909090909105,0.22769641324870826
7,Botafogo,1.107946618885663,1.1936540556974882,1.1437499065897188,1.5715179660513927,1.125848262737691,1.3825860108744403,-0.08570743681182513,-0.42776805946167396,-0.25673774813674943,0.9090909090909091,1.0,0.9166666666666666,1.4166666666666667,0.9128787878787878,1.2083333333333335,-0.09090909090909094,-0.5000000000000001,-0.29545454545454564,0.21296947485890305
8,Coritiba,1.3380795988864076,1.0921298875693055,1.2095176336911722,1.6676978600249242,1.27379861628879,1.3799138737971148,0.24594971131710208,-0.458180226333752,-0.10611525750832485,1.25,1.0,0.9090909090909091,2.3636363636363638,1.0795454545454546,1.6818181818181819,0.25,-1.4545454545454546,-0.6022727272727273,0.1942531617433354
9,Santos,1.4880947932215414,1.657061568733311,1.1121276856476525,1.3949970369417246,1.3001112394345968,1.5260293028375178,-0.16896677551176964,-0.2828693512940721,-0.22591806340292098,1.5,0.8333333333333334,0.8181818181818182,0.8181818181818182,1.1590909090909092,0.8257575757575758,0.6666666666666666,0.0,0.33333333333333337,0.14102033034368766
