,clube,xG_mean,xG_total
0,Palmeiras,1.690257922050599,42.25644805126497
1,Flamengo,1.6149291847258647,40.37322961814667
2,Internacional,1.4967234902537856,38.914810746598434
3,Atlético-MG,1.4801515743947797,38.48394093426424
4,América-MG,1.4207128880226962,36.93853508859008
5,Fluminense,1.3200322348778697,34.32083810682463
6,Bragantino,1.3171932139817577,34.24702356352567
7,São Paulo,1.2722891290308398,33.07951735480186
8,Fortaleza,1.2717026568544907,33.06426907821676
9,Coritiba,1.249634537051114,32.49049796332894
10,Santos,1.2491045450497364,32.47671817129313
11,Atlético-GO,1.2372489288137258,32.16847214915688
12,Botafogo,1.2008281402066674,31.221531645373343
13,Ceará,1.1490191719534515,29.874498470789742
14,Avaí,1.0563050349666272,27.463930909132323
15,Goiás,1.0434861757672111,27.13064056994749
16,Cuiabá,1.0361295362890837,26.93936794351618
17,Juventude,1.0329102465763678,26.855666410985545
18,Corinthians,1.0311712668523039,26.810452938159905
19,Athletico-PR,1.0196128081506617,26.50993301191719
