,clube,xGA_geral
0,Atlético-MG,0.854904594662897
1,Flamengo,0.9429673275635563
2,Palmeiras,0.9999168857189704
3,Corinthians,1.0822109182358473
4,Fortaleza,1.0994961393630303
5,Cuiabá,1.1311722578270278
6,Fluminense,1.1370189914406172
7,Internacional,1.1893380170142722
8,São Paulo,1.2240114622347422
9,Bragantino,1.27177333410277
10,Ceará,1.3286789145394313
11,Atlético-GO,1.3553637886003798
12,Coritiba,1.3799138737971148
13,Botafogo,1.3825860108744403
14,América-MG,1.4297594905759776
15,Juventude,1.4492843995709406
16,Santos,1.5260293028375178
17,Athletico-PR,1.5364670834601197
18,Avaí,1.5734339294339041
19,Goiás,1.6918842578059632
