,clube,xG_casa,xGA_casa,xG_fora,xGA_fora,xG_geral,xGA_geral,xG_diff_casa,xG_diff_fora,xG_diff_geral
0,Flamengo,1.9977025665653156,0.8033595008799913,1.3887888375561,1.0782651234259022,1.693245702060708,0.9408123121529468,1.1943430656853242,0.31052371413019775,0.7524333899077611
1,Palmeiras,2.053551061585273,0.89349126063387,1.3062561369719938,1.1589647173455662,1.6799035992786333,1.0262279889897181,1.160059800951403,0.14729141962642767,0.6536756102889152
2,Atlético-MG,1.663209716778897,0.7935407925379966,1.3369258741753194,1.0771346584360304,1.5000677954771082,0.9353377254870134,0.8696689242409005,0.259791215739289,0.5647300699900948
3,Internacional,1.6320897499511176,1.0815925003994544,1.364368178556497,1.1651160464524766,1.4982289642538071,1.1233542734259654,0.5504972495516631,0.19925213210402037,0.37487469082784175
4,Fluminense,1.8075320066928409,0.9307938687262548,1.0091137087874402,1.2590993545658837,1.4083228577401405,1.0949466116460693,0.8767381379665861,-0.2499856457784435,0.3133762460940712
5,São Paulo,1.4693392240427277,1.1201965726671774,1.2755018720227416,1.2797090603843173,1.3724205480327347,1.1999528165257474,0.34914265137555023,-0.004207188361575742,0.17246773150698735
6,Bragantino,1.5596572099889752,0.9967428473195211,1.2273677849384317,1.531830606705285,1.3935124974637034,1.264286727012403,0.562914362669454,-0.30446282176685324,0.12922577045130046
7,Fortaleza,1.5417476668740526,1.008949088110643,0.9998788462110054,1.4164543224053525,1.270813256542529,1.2127017052579978,0.5327985787634095,-0.4165754761943471,0.05811155128453116
8,América-MG,1.6769413641409519,1.0995822990870407,1.2667215417766202,1.728356870410394,1.471831452958786,1.4139695847487173,0.5773590650539111,-0.46163532863377377,0.05786186821006867
9,Corinthians,1.2999501576722643,1.143471628015521,1.0665800655420086,1.2593075983738233,1.1832651116071364,1.2013896131946722,0.15647852965674325,-0.19272753283181476,-0.018124501587535757
10,Atlético-GO,1.5862072494392134,1.1698036038061408,1.1708967742465182,1.7079536995285136,1.3785520118428658,1.438878651667327,0.41640364563307264,-0.5370569252819954,-0.06032663982446129
11,Coritiba,1.3069502719092796,1.1004502393215527,1.2731637508075673,1.7190776808334454,1.2900570113584235,1.4097639600774992,0.20650003258772687,-0.4459139300258781,-0.11970694871907561
12,Ceará,1.1717887114047858,1.1731636813884676,1.141331750172659,1.4327409276326557,1.1565602307887224,1.3029523045105615,-0.0013749699836818063,-0.2914091774599967,-0.14639207372183916
13,Botafogo,1.17754801117417,1.241171755312535,1.2565956087474441,1.5225254814884435,1.217071809960807,1.3818486184004892,-0.06362374413836491,-0.26592987274099933,-0.16477680843968212
14,Santos,1.464120549962534,1.4357789680801871,1.0624772770706232,1.4750089011480703,1.2632989135165786,1.4553939346141287,0.028341581882346922,-0.41253162407744703,-0.19209502109755006
15,Cuiabá,1.261583468784758,1.0248935315555514,0.8529409153224083,1.4831249301624179,1.0572621920535832,1.2540092308589847,0.23668993722920662,-0.6301840148400095,-0.19674703880540156
16,Athletico-PR,1.246509568412404,1.40660174676653,0.913469397340672,1.5869366808720748,1.079989482876538,1.4967692138193023,-0.16009217835412604,-0.6734672835314028,-0.4167797309427643
17,Juventude,1.4958443302281967,1.1169467011180245,0.6917997633416128,2.01162301527715,1.0938220467849047,1.5642848581975872,0.3788976291101722,-1.3198232519355373,-0.47046281141268254
18,Avaí,1.1830698527310115,1.2917617376755905,0.9260462796208037,1.825882374223845,1.0545580661759075,1.558822055949718,-0.10869188494457904,-0.8998360946030414,-0.5042639897738104
19,Goiás,1.0514734625720321,1.584383384973624,0.9081798252523162,1.8808832602038659,0.9798266439121741,1.732633322588745,-0.5329099224015919,-0.9727034349515497,-0.7528066786765708
