,clube,xG_casa,xGA_casa,xG_fora,xGA_fora
1,Flamengo,2.047241484613065,0.7267566439197252,1.3619600888015968,1.1029408943697459
2,Botafogo,1.128078523454527,1.282585292883231,1.2241295547484428,1.4964303463861366
3,Corinthians,1.2710938514124959,1.0829875956142534,1.0037376503394937,1.2289768498242335
4,Fluminense,1.6247250748521083,0.9385581975725638,0.866683181342274,1.2724319717619692
5,Palmeiras,1.9360231420485248,0.902268753859952,1.4423800604286623,1.1096194822556682
6,São Paulo,1.500378549691412,1.0083526737660296,1.3527187295686531,1.283178538653429
7,Santos,1.5073983285850052,1.4353674635697617,1.0773969223684496,1.3452054081539975
8,Bragantino,1.5168289566517168,0.9821668939531516,1.1495227283557221,1.526588018488016
9,Atlético-MG,1.6303179855349204,0.7504523005960254,1.3095910569494742,1.0278026219852676
10,Internacional,1.5561376891834913,1.0552202438265772,1.3295072005976851,1.2033381414629882
11,Juventude,1.4987446637475963,1.0967479452774553,0.6891227024255647,1.9026310126735788
12,Goiás,1.0412858606562094,1.5643010748381418,0.878597282068891,1.9205858804788214
13,Athletico-PR,1.2699540084359437,1.3111043872547998,0.9088127620640807,1.5431809953571036
14,Coritiba,1.213418378048769,1.0924358269616812,1.2311188503336892,1.6649001576678988
15,Avaí,1.2143950955548959,1.230342621764308,0.8802482889204984,1.890749943288766
16,América-MG,1.588839399078175,0.995211987928612,1.1934190566972955,1.6027205227135226
17,Ceará,1.0934841059060953,1.202635777009067,1.1514454596680395,1.4092638476351307
18,Fortaleza,1.56533151786036,0.9677298976737425,0.9802543914124909,1.4125068014325162
19,Atlético-GO,1.61790488168753,1.1805590954872032,1.1408885657362442,1.5550724201779742
20,Cuiabá,1.2089986181423105,1.0557515661887114,0.790835187951121,1.3902757873059552
