,clube,xG_total,xGA_total,xG_saldo
0,Palmeiras,48.48824669598706,27.547053339275216,20.941193356711842
1,Flamengo,47.385781290237745,26.980618422923975,20.40516286731377
2,Atlético-MG,43.12030452658502,25.532653429927436,17.587651096657588
3,Internacional,44.1335239878253,33.48120361514525,10.652320372680052
4,Fluminense,38.74378544935884,31.884831433282052,6.858954016076787
5,São Paulo,39.36502840676789,34.58585523441104,4.779173172356849
6,Fortaleza,37.118759736787005,34.16092688813223,2.9578328486547747
7,Corinthians,35.64510888659392,33.91256140227413,1.7325474843197881
8,Bragantino,37.51892352746452,37.29959148634536,0.21933204111915927
9,América-MG,40.06845429352343,39.854943928435496,0.21351036508793442
10,Atlético-GO,41.15272552353436,41.25610455909586,-0.10337903556150252
11,Coritiba,35.640260100343326,40.16206120561732,-4.521801105273994
12,Ceará,33.15385307013865,38.05212302357239,-4.89826995343374
13,Cuiabá,30.634049251558828,35.74752520505015,-5.113475953491324
14,Santos,37.56823358263982,43.10947760859831,-5.541244025958491
15,Botafogo,34.0052270348434,41.368603265166975,-7.363376230323574
16,Athletico-PR,32.70985820557029,41.73996186739973,-9.030103661829436
17,Avaí,31.24595319110304,44.08108499145919,-12.835131800356152
18,Juventude,30.545364602124632,44.95480202201757,-14.409437419892935
19,Goiás,28.841745869527692,51.3732043043851,-22.531458434857406
