,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PI,PP,PS,SG,adversario_nome,ano,apelido,atleta_id,clube,clube_id,duracao_1t,duracao_2t,duracao_partida,home_dummy,jogos_num,match_id,media_num,minutos_jogados,nome,opp_goals,opponent,pontos_num,pontos_por_minuto,posicao,posicao_id,preco_num,preco_open,rodada_id,slug,status_id,status_inicial,status_pre,team_goals,variacao_num,pontos_ofensivos_decisivos,pontos_ofensivos_finalização,pontos_ofensivos_totais,ieo_gm,ieo_gm_mean,finalizacoes_num,iao_gm,iao_gm_mean,desarmes_perc,ied_gm,ied_gm_mean,ieg_gm,ieg_gm_mean,GS_por_finalizacao,DE_por_finalizacao,ippc_gm,ippc_gm_mean,iro_gm,irp_gm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlético-MG,2022.0,Matheus Babi,94444,Athletico-PR,293,46.0,50.0,96.0,1,0,287537,0.0,0.0,Matheus Barcelos da Silva,1.0,282,0.0,0.0,ATA,5,5.0,5.0,2,matheusbabi,6,0,Nulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.565217391304348,19.565217391304348,6.666666666666667,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Flamengo,2022.0,Matheus Babi,94444,Athletico-PR,293,,,,1,0,287568,0.0,,Matheus Barcelos da Silva,0.0,262,0.0,,ATA,5,5.0,5.0,3,matheusbabi,6,,Nulo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,23.115942028985508,14.705882352941178,10.686274509803923,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América-MG,2022.0,Matheus Babi,94444,Athletico-PR,293,,,,0,0,287578,0.0,,Matheus Barcelos da Silva,1.0,327,0.0,,ATA,5,5.0,5.0,4,matheusbabi,6,,Nulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,25.806451612903224,24.01277855695808,9.230769230769232,10.201106083459026,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Juventude,2022.0,Carlos Alberto,106704,América-MG,327,48.0,48.0,96.0,1,1,287528,0.2,0.0,Carlos Alberto Gomes da Silva Filho,1.0,286,0.0,0.0,ATA,5,2.11,2.11,2,carlosalbertogsf,6,reserva,Nulo,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.565217391304348,19.565217391304348,6.666666666666667,6.666666666666667,0.0,0.0,0.0,0.0,2.38,0.6359011627906976
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Santos,2022.0,Carlos Alberto,106704,América-MG,327,,,,0,2,287563,0.45,,Carlos Alberto Gomes da Silva Filho,3.0,277,0.7,,ATA,5,1.72,2.11,3,carlosalbertogsf,6,,Nulo,0.0,-0.39,0.0,0.8,0.8,0.0,0.0,1.0,0.0,0.0,0.0,26.666666666666668,23.115942028985508,14.705882352941178,10.686274509803923,0.0,0.0,0.33175355450236965,0.16587677725118483,2.38,0.6359011627906976
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Athletico-PR,2022.0,Carlos Alberto,106704,América-MG,327,,,,1,2,287578,0.45,,Carlos Alberto Gomes da Silva Filho,0.0,293,0.0,,ATA,5,1.72,1.72,4,carlosalbertogsf,6,,Nulo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,25.806451612903224,24.01277855695808,9.230769230769232,10.201106083459026,0.0,0.0,0.0,0.11058451816745656,2.38,0.6359011627906976
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Juventude,2022.0,Gustavo,108201,América-MG,327,48.0,48.0,96.0,1,0,287528,0.0,0.0,Gustavo César Mendonça Gravino,1.0,286,0.0,0.0,MEI,4,3.0,3.0,2,gustavo-americamg,6,0,Nulo,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.565217391304348,19.565217391304348,6.666666666666667,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Santos,2022.0,Gustavo,108201,América-MG,327,,,,0,0,287563,0.0,,Gustavo César Mendonça Gravino,3.0,277,0.0,,MEI,4,3.0,3.0,3,gustavo-americamg,6,,Nulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,23.115942028985508,14.705882352941178,10.686274509803923,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Athletico-PR,2022.0,Gustavo,108201,América-MG,327,,,,1,0,287578,0.0,,Gustavo César Mendonça Gravino,0.0,293,0.0,,MEI,4,3.0,3.0,4,gustavo-americamg,6,,Nulo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,25.806451612903224,24.01277855695808,9.230769230769232,10.201106083459026,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Juventude,2022.0,Arthur,115562,América-MG,327,48.0,48.0,96.0,1,0,287528,0.0,0.0,Arthur Augusto de Matos Soares,1.0,286,0.0,0.0,LAT,2,1.0,1.0,2,arthur-augustoms,6,0,Nulo,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.565217391304348,19.565217391304348,6.666666666666667,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Santos,2022.0,Arthur,115562,América-MG,327,,,,0,0,287563,0.0,,Arthur Augusto de Matos Soares,3.0,277,0.0,,LAT,2,1.0,1.0,3,arthur-augustoms,6,,Nulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,23.115942028985508,14.705882352941178,10.686274509803923,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Athletico-PR,2022.0,Arthur,115562,América-MG,327,,,,1,0,287578,0.0,,Arthur Augusto de Matos Soares,0.0,293,0.0,,LAT,2,1.0,1.0,4,arthur-augustoms,6,,Nulo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,25.806451612903224,24.01277855695808,9.230769230769232,10.201106083459026,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goiás,2022.0,Breno Lopes,93988,Palmeiras,275,49.0,55.0,104.0,0,0,287535,0.0,0.0,Breno Henrique Vasconcelos Lopes,1.0,290,0.0,0.0,ATA,5,5.0,5.0,2,brenolopes,6,reserva,Nulo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.565217391304348,19.565217391304348,6.666666666666667,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Corinthians,2022.0,Breno Lopes,93988,Palmeiras,275,,,,1,0,287562,0.0,,Breno Henrique Vasconcelos Lopes,0.0,264,0.0,,ATA,5,5.0,5.0,3,brenolopes,6,,Nulo,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,23.115942028985508,14.705882352941178,10.686274509803923,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Flamengo,2022.0,Breno Lopes,93988,Palmeiras,275,,,,0,0,287579,0.0,,Breno Henrique Vasconcelos Lopes,0.0,262,0.0,,ATA,5,5.0,5.0,4,brenolopes,6,,Nulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,25.806451612903224,24.01277855695808,9.230769230769232,10.201106083459026,0.0,0.0,0.0,0.0,0.0,0.0
