,rodada_id,atleta_id,apelido,clube,posicao,preco_open,pontos_num,variacao_num,ieo_gm_mean,iao_gm_mean,ied_gm_mean,ieg_gm_mean,iro_gm,irp_gm,ippc_gm_mean,ranking_clube,fase,prob_vitoria_mandante,prob_vitoria_visitante,prob_vitoria,mando,XP_mandante,XP_visitante,XP,media_movel_mandante,media_movel_visitante,media_movel,odds,points_next,binary_prob
220,3,107554,Natanael,Coritiba,LAT,8.61,10.3,1.97,0.0,0.0,57.728316551845964,5.4472409311118986,8.46,17.861080485115767,1.3001378035086006,0,1,44.528858067006894,7.512902640261236,7.512902640261236,visitante,0.0,3.05,0,10.6,3.1,10.6,0,0,1.0
372,3,80287,Luciano,São Paulo,ATA,12.8,3.8,-0.56,63.63666666666666,13.333333333333336,30.144261908967792,5.4472409311118986,10.693333333333333,8.450573431768584,0.4935068852924475,0,4,32.497957808411044,25.278172858510654,32.497957808411044,mandante,6.6,0.0,0,9.2,4.5,9.2,0,0,1.0
377,3,68920,Dudu,Palmeiras,ATA,16.17,3.6,-0.93,44.64333333333334,0.0,37.45039156803863,5.4472409311118986,8.120000000000001,11.333914559721013,0.4347230461099396,0,7,44.528858067006894,45.66382906648863,45.66382906648863,visitante,0.0,4.85,0,6.05,8.7,6.05,0,0,1.0
44,3,110506,Abel Ferreira,Palmeiras,TEC,11.94,5.66,0.3,0.0,0.0,31.784725902372962,5.4472409311118986,0.0,9.328683522231907,0.4580969279279672,0,7,44.528858067006894,45.66382906648863,45.66382906648863,visitante,0.0,3.105,0,5.955,5.21,5.955,0,0,1.0
246,3,71684,Gustavo Gómez,Palmeiras,ZAG,9.55,1.4,-0.9,0.0,0.0,39.07024671730553,5.4472409311118986,0.0,2.8334786399302523,0.14103672527667555,0,7,44.528858067006894,45.66382906648863,45.66382906648863,visitante,0.0,1.8,0,1.2999999999999998,2.6,1.2999999999999998,0,0,1.0
514,3,113558,Bruninho,Bragantino,MEI,12.19,1.2,-1.11,26.66666666666667,33.333333333333336,37.667078843549426,5.4472409311118986,12.12,12.318713961209154,0.7494804484550178,0,4,44.528858067006894,30.09130668651146,30.09130668651146,visitante,0.0,4.0,0,7.05,0.0,7.05,0,0,1.0
41,3,88037,Luís Castro,Botafogo,TEC,10.14,6.72,0.86,0.0,0.0,31.784725902372962,5.4472409311118986,0.0,9.734242948783221,0.7056914178450108,0,9,51.28560719664114,25.278172858510654,51.28560719664114,mandante,8.06,0.0,0,6.12,6.5,6.12,0,0,1.0
385,3,91908,Pavón,Atlético-MG,ATA,4.48,2.1,0.14,0.0,0.0,40.6300418065124,5.4472409311118986,5.0,3.3290795095156183,0.41673289738430586,0,4,44.528858067006894,27.841289290166287,27.841289290166287,visitante,0.0,0.09999999999999998,0,2.4000000000000004,1.2,2.4000000000000004,0,0,1.0
40,3,110818,Renato Paiva,Bahia,TEC,6.34,7.01,1.49,0.0,0.0,31.784725902372962,5.4472409311118986,0.0,8.867283589082815,0.9640461368098788,0,3,74.88633897510671,25.278172858510654,74.88633897510671,mandante,5.9350000000000005,0.0,0,3.37,5.885,3.37,0,0,1.0
508,3,82463,Otávio,Atlético-MG,MEI,4.67,1.4,-0.17,0.0,0.0,40.05063887416829,5.4472409311118986,5.0,2.9406869000721296,0.336203132216484,0,4,44.528858067006894,27.841289290166287,27.841289290166287,visitante,0.0,0.5,0,1.65,2.0,1.65,0,0,1.0
492,3,122394,Gustavinho,Bragantino,MEI,2.41,2.5,0.47,0.0,0.0,30.403344520991578,5.4472409311118986,3.03,1.6599685479643544,0.2957814661134163,0,4,44.528858067006894,30.09130668651146,30.09130668651146,visitante,0.0,1.7,0,2.5,-0.6,2.5,0,0,1.0
485,3,101594,Hugo Moura,Athletico-PR,MEI,7.130000000000001,3.2,0.1,0.0,0.0,54.14120002355296,5.4472409311118986,6.666666666666668,8.548168249660787,0.7196026180458158,0,3,12.941759608905187,25.278172858510654,12.941759608905187,mandante,3.15,0.0,0,4.3,4.15,4.3,0,0,1.0
480,3,85931,Hyoran,Atlético-MG,MEI,3.5900000000000003,3.7,0.64,0.0,0.0,23.039510098333626,5.4472409311118986,20.0,2.9406869000721296,0.46612580871602505,0,4,44.528858067006894,27.841289290166287,27.841289290166287,visitante,0.0,0.35,0,1.8,1.7,1.8,0,0,1.0
477,3,107498,André,Fluminense,MEI,11.55,4.1,-0.1,0.0,0.0,51.85891774127069,5.4472409311118986,8.89,6.47496480997386,0.4733178161260352,0,6,49.87907610741868,25.278172858510654,49.87907610741868,mandante,1.95,0.0,0,4.9,5.6,4.9,0,0,1.0
468,3,62977,Ganso,Fluminense,MEI,10.66,5.0,0.26,66.66666666666667,0.0,44.71530353883296,5.4472409311118986,0.0,6.6358335009048846,0.5320733951542679,0,6,49.87907610741868,25.278172858510654,49.87907610741868,mandante,2.15,0.0,0,5.3,5.6,5.3,0,0,1.0
466,3,81845,Alisson,São Paulo,MEI,4.369999999999999,5.3,0.94,28.736666666666665,0.0,33.26620738385444,5.4472409311118986,6.3900000000000015,5.107489436783209,1.0094192277612026,0,4,32.497957808411044,25.278172858510654,32.497957808411044,mandante,4.9,0.0,0,5.8,2.6,5.8,0,0,1.0
464,3,86711,Richard Coelho,Cruzeiro,MEI,9.36,5.4,0.59,0.0,0.0,64.54984396160866,5.4472409311118986,8.146666666666668,7.281937628621179,0.9173722917908964,0,6,75.10544059889264,25.278172858510654,75.10544059889264,mandante,7.5,0.0,0,6.0,6.2,6.0,0,0,1.0
462,3,86686,Tchê Tchê,Botafogo,MEI,9.6,5.5,0.4,66.66666666666667,6.666666666666668,37.64646999941118,5.4472409311118986,10.37,10.08043987373994,0.9192373294346976,0,9,51.28560719664114,25.278172858510654,51.28560719664114,mandante,7.3,0.0,0,4.6,7.6,4.6,0,0,1.0
460,3,111682,Adson,Corinthians,MEI,3.03,6.3,1.0,0.0,0.0,34.268386033091915,5.4472409311118986,13.333333333333336,4.963189676565472,0.6730693069306929,0,3,32.70160821691195,25.278172858510654,32.70160821691195,mandante,1.35,0.0,0,-0.3,6.3,-0.3,0,0,1.0
459,3,68708,Eduardo,Botafogo,MEI,13.61,6.9,0.92,64.73333333333333,22.222222222222214,23.039510098333626,5.4472409311118986,7.406666666666666,10.79319824865085,0.6928355096356045,0,9,51.28560719664114,25.278172858510654,51.28560719664114,mandante,11.95,0.0,0,13.9,3.65,13.9,0,0,1.0
453,3,106822,Rodrigo Nestor,São Paulo,MEI,8.51,8.7,1.81,0.0,0.0,48.91774127068245,5.4472409311118986,14.583333333333336,7.893392765937689,0.6755283054196098,0,4,32.497957808411044,25.278172858510654,32.497957808411044,mandante,3.1,0.0,0,2.2,7.399999999999999,2.2,0,0,1.0
447,3,86388,Alê,América-MG,MEI,5.61,14.8,3.45,27.77666666666667,20.0,40.433963375139854,5.4472409311118986,11.793333333333335,13.40174605605759,1.029382055852644,0,0,40.26551428554431,25.278172858510654,40.26551428554431,mandante,2.35,0.0,0,2.7,14.8,2.7,0,0,1.0
446,3,94509,Raphael Veiga,Palmeiras,MEI,21.0,15.1,-1.8,30.516666666666666,13.333333333333336,28.82176293941,5.4472409311118986,4.763333333333333,8.227986050566695,0.2396825396825397,0,7,44.528858067006894,45.66382906648863,45.66382906648863,visitante,0.0,1.0,0,15.1,0.0,15.1,0,0,1.0
329,3,87853,Mauricio Lemos,Atlético-MG,ZAG,13.88,-0.7,-1.7,28.986666666666665,22.222222222222214,38.045103927456864,6.5225097483162,6.1099999999999985,9.987238528546856,0.8644913664842351,0,4,44.528858067006894,27.841289290166287,27.841289290166287,visitante,0.0,2.25,0,6.25,5.5,6.25,0,0,1.0
425,3,89840,Calleri,São Paulo,ATA,17.95,0.0,0.0,51.35666666666666,60.0,15.09156215038568,5.4472409311118986,17.223333333333333,10.029251984956119,0.4612161141994373,0,4,32.497957808411044,25.278172858510654,32.497957808411044,mandante,7.75,0.0,0,11.5,10.1,11.5,0,0,1.0
140,3,91260,Lucas Perri,Botafogo,GOL,7.210000000000001,9.0,2.02,0.0,0.0,31.784725902372962,67.53318366221592,0.0,8.654923123918135,0.8347116138036417,0,9,51.28560719664114,25.278172858510654,51.28560719664114,mandante,7.5,0.0,0,5.0,6.0,5.0,0,0,1.0
141,3,37656,Fábio,Fluminense,GOL,13.17,9.0,1.19,0.0,0.0,33.666018960136604,54.562999724290044,0.0,9.249949728534084,0.588156165260578,0,6,49.87907610741868,25.278172858510654,49.87907610741868,mandante,3.0,0.0,0,7.0,8.0,7.0,0,0,1.0
50,3,40990,Dorival Júnior,São Paulo,TEC,9.97,4.85,-0.07,0.0,0.0,30.03003003003003,5.606758832565284,0.0,9.95960440172726,0.7458892635352866,0,4,32.497957808411044,25.278172858510654,32.497957808411044,mandante,6.725,0.0,0,9.45,4.85,9.45,0,0,1.0
143,3,82453,Tadeu,Goiás,GOL,5.32,6.0,1.16,0.0,0.0,31.784725902372962,28.073181298987752,0.0,5.490792363574928,0.39747301069210494,0,3,28.915469257349386,25.278172858510654,28.915469257349386,mandante,2.25,0.0,0,0.5,3.0,0.5,0,0,1.0
345,3,90031,Mendoza,Santos,ATA,12.0,20.8,2.86,31.4,13.333333333333336,39.19213330978037,5.4472409311118986,7.406666666666666,11.354331568317047,0.5777777777777778,0,4,44.528858067006894,6.461672356513207,6.461672356513207,visitante,0.0,4.0,0,20.8,0.0,20.8,0,0,1.0
349,3,91151,Everaldo,América-MG,ATA,7.42,13.6,3.34,33.333333333333336,6.666666666666668,42.29346994052876,5.4472409311118986,14.016666666666667,17.69030479399602,1.1253561118622304,0,0,40.26551428554431,25.278172858510654,40.26551428554431,mandante,2.85,0.0,0,3.7,9.7,3.7,0,0,1.0
228,3,111879,Mateusinho,Cuiabá,LAT,5.74,5.6,0.63,28.986666666666665,13.333333333333336,40.995112759818646,5.4472409311118986,7.406666666666666,14.382336935396099,6.122605849435113,0,1,44.528858067006894,31.187524485002843,31.187524485002843,visitante,0.0,3.1,0,9.65,-0.8,9.65,0,0,1.0
227,3,105531,Matheus Bidu,Corinthians,LAT,4.97,5.8,0.96,0.0,0.0,38.71283047753636,5.4472409311118986,5.556666666666668,7.8583836545619965,0.6973340040241448,0,3,32.70160821691195,25.278172858510654,32.70160821691195,mandante,3.35,0.0,0,3.7,5.8,3.7,0,0,1.0
351,3,110759,John Kennedy,Fluminense,ATA,10.94,11.4,2.7,46.15333333333333,60.0,27.019961137608195,5.4472409311118986,23.33333333333333,9.652121455861652,1.1986911686728872,0,6,49.87907610741868,25.278172858510654,49.87907610741868,mandante,-0.65,0.0,0,-0.3,12.15,-0.3,0,0,1.0
364,3,106199,Gabriel Pec,Vasco,ATA,18.89,5.7,-0.32,62.223333333333336,40.0,41.11052228699288,5.4472409311118986,38.25,22.796756613053304,1.3035199550370946,0,4,44.528858067006894,25.16077194889739,25.16077194889739,visitante,0.0,9.2,0,8.7,16.9,8.7,0,0,1.0
585,3,110607,Gabriel Pirani,Fluminense,MEI,5.78,0.0,-0.57,0.0,0.0,38.146381675793435,5.4472409311118986,6.666666666666668,2.4532475366981696,0.4935918147549812,0,6,49.87907610741868,25.278172858510654,49.87907610741868,mandante,-0.25,0.0,0,0.5,2.8,0.5,0,0,1.0
237,3,116461,Jamerson,Coritiba,LAT,6.35,2.9,0.25,0.0,0.0,53.63775540246129,5.4472409311118986,2.563333333333333,8.232267548695331,0.9508540348119138,0,1,44.528858067006894,7.512902640261236,7.512902640261236,visitante,0.0,4.5,0,2.6,6.0,2.6,0,0,1.0
