,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Fluminense,74.07166666666667,1,70.52666666666666,3,45.708333333333336,10
1,Palmeiras,72.61666666666666,2,73.81333333333332,2,74.96333333333332,1
2,Athletico-PR,65.01833333333333,3,57.45833333333334,7,63.70333333333334,2
3,Corinthians,62.544999999999995,4,66.89,4,47.195,7
4,Atlético-MG,59.05500000000001,5,65.72833333333334,5,58.306666666666665,3
5,Internacional,55.855,6,53.471666666666664,10,49.71,5
6,Bragantino,55.581666666666656,7,46.49166666666667,15,46.07,8
7,Fortaleza,53.0,8,47.58166666666667,14,38.12666666666666,13
8,Flamengo,52.14166666666666,9,76.255,1,37.36,15
9,Botafogo,50.54833333333334,10,49.09166666666667,12,48.583333333333336,6
10,Ceará,50.41333333333333,11,36.56666666666667,20,55.61333333333332,4
11,Atlético-GO,49.0,12,48.41833333333333,13,44.86000000000001,11
12,Santos,48.61833333333334,13,51.71,11,46.0,9
13,São Paulo,43.74666666666667,14,55.089999999999996,8,34.82,18
14,Coritiba,43.49,15,58.345000000000006,6,43.345,12
15,América-MG,42.18333333333334,16,55.05666666666667,9,31.236666666666668,19
16,Juventude,39.73,17,38.126666666666665,18,36.51166666666666,17
17,Avaí,39.291666666666664,18,42.419999999999995,17,36.92666666666667,16
18,Goiás,36.32833333333333,19,43.673333333333325,16,37.818333333333335,14
19,Cuiabá,35.254999999999995,20,36.96333333333333,19,30.255,20
