,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,slug,apelido,apelido_abreviado,nome,foto,status
0,"{'A': 1, 'CA': 1, 'DE': 19, 'GS': 6, 'PC': 1}",113061,16,294,1,7,2.0,1.73,-1.22,4.0,4,,rafael-william,Rafael William,R. William,Rafael William Dias Pinheiro,https://s.glbimg.com/es/sde/f/2022/02/23/01d937c575c9690929ef3bab4767be65_FORMATO.png,Provável
1,"{'A': 1, 'CA': 2, 'DS': 33, 'FC': 18, 'FD': 2, 'FF': 10, 'FS': 36, 'FT': 1, 'G': 3, 'PI': 61}",82455,16,275,4,7,7.0,14.19,0.16,6.17,14,,ze-rafael,Zé Rafael,Z. Rafael,José Rafael Vivian,https://s.glbimg.com/es/sde/f/2022/02/21/a9bb4a6cb2ff8e2f533bf41f37dd93dc_FORMATO.png,Provável
2,"{'DS': 8, 'FC': 1, 'FS': 2, 'PI': 5, 'SG': 3}",101579,16,264,3,7,0.0,5.94,0.0,6.2,4,,robson-bambu,Robson Bambu,R. Bambu,Robson Alves de Barros,https://s.glbimg.com/es/sde/f/2022/04/27/44c60f9696fad0a8a8156b8192e4af04_FORMATO.png,Provável
3,{},101077,16,286,6,7,3.85,5.55,0.22,3.21,9,,umberto-louzer,Umberto Louzer,U. Louzer,Umberto Lourenço Louzer Filho,https://s.glbimg.com/es/sde/f/2021/04/15/6b25bcef84ca2ca67c4b19b4e5356ca3_FORMATO.png,Provável
4,"{'CA': 1, 'DS': 21, 'FC': 9, 'FD': 2, 'FF': 5, 'FS': 3, 'G': 1, 'PC': 1, 'PI': 100, 'SG': 4}",105175,16,293,2,7,0.0,4.74,0.0,4.23,11,,khellven,Khellven ,Khellven ,Khellven Douglas Silva Oliveira,https://s.glbimg.com/es/sde/f/2022/02/21/2ca4e948511b9183a702c48d72753850_FORMATO.png,Provável
5,"{'A': 2, 'CA': 4, 'DS': 5, 'FC': 17, 'FD': 4, 'FF': 18, 'FS': 25, 'FT': 2, 'G': 7, 'I': 10, 'PI': 67}",39148,16,282,5,7,-0.5,18.89,-1.97,7.15,13,,hulk,Hulk,Hulk,Givanildo Vieira de Souza,https://s.glbimg.com/es/sde/f/2021/04/23/d9ed7fa34aa12e4ce8768c9c2a2b4560_FORMATO.png,Provável
6,"{'A': 1, 'CA': 3, 'DS': 6, 'FC': 18, 'FD': 11, 'FF': 18, 'FS': 37, 'G': 5, 'I': 10, 'PI': 33}",109497,16,277,5,7,6.3,12.94,0.43,6.58,13,,marcos-leonardo,Marcos Leonardo,M. Leonardo,Marcos Leonardo Santos Almeida,https://s.glbimg.com/es/sde/f/2022/03/03/70c0680cfe4346861b4db5ebeba1fdbd_FORMATO.png,Provável
7,"{'A': 3, 'DS': 12, 'FC': 9, 'FD': 4, 'FF': 10, 'FS': 17, 'FT': 1, 'G': 1, 'I': 1, 'PI': 57, 'PP': 1}",94509,16,275,4,7,-0.4,13.98,-0.99,4.91,10,,raphael-veiga,Raphael Veiga,R. Veiga,Raphael Cavalcante Veiga,https://s.glbimg.com/es/sde/f/2022/02/21/edbc22b64b00c1cd70870abf8d429ffd_FORMATO.png,Provável
8,"{'A': 7, 'DS': 8, 'FC': 6, 'FD': 15, 'FF': 23, 'FS': 30, 'FT': 1, 'G': 3, 'I': 3, 'PI': 142}",87999,16,275,4,7,1.3,11.54,-0.99,7.62,14,,gustavo-scarpa,Gustavo Scarpa,G. Scarpa,Gustavo Henrique Furtado Scarpa,https://s.glbimg.com/es/sde/f/2022/02/21/7f4f870f8251e4f95ab6d372a22919c1_FORMATO.png,Provável
9,"{'A': 4, 'CA': 2, 'DS': 14, 'FC': 5, 'FD': 8, 'FF': 19, 'FS': 32, 'FT': 2, 'G': 4, 'PI': 109}",104530,16,294,5,7,19.2,17.17,2.77,7.79,13,,igor-paixao,Igor Paixão,I. Paixão,Igor Guilherme Barbosa da Paixão,https://s.glbimg.com/es/sde/f/2022/02/23/65a987228916ce13345ffe12d4846cff_FORMATO.png,Provável
10,"{'DE': 39, 'GS': 12, 'SG': 6}",71631,16,275,1,7,10.0,11.78,1.4,4.38,13,,weverton,Weverton,Weverton,Weverton Pereira da Silva,https://s.glbimg.com/es/sde/f/2022/02/21/b9adc602abc451c8b30c8554a18970f2_FORMATO.png,Provável
11,"{'A': 1, 'CA': 2, 'DS': 26, 'FC': 8, 'FD': 3, 'FF': 5, 'FS': 11, 'PC': 1, 'PI': 70, 'SG': 5}",102130,16,275,2,7,6.5,8.38,0.47,6.19,10,,piquerez,Piquerez,Piquerez,Joaquín Piquerez Moreira,https://s.glbimg.com/es/sde/f/2022/02/21/82bd262ef647de7255e8df06fdd8e3f2_FORMATO.png,Provável
12,"{'DE': 49, 'DS': 1, 'GS': 10, 'SG': 8}",42234,16,264,1,7,9.0,12.64,1.48,5.73,14,,cassio,Cássio,Cássio,Cássio Roberto Ramos,https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png,Provável
13,"{'CA': 5, 'DS': 4, 'FC': 8, 'FD': 7, 'FF': 10, 'FS': 10, 'FT': 1, 'G': 5, 'I': 11, 'PI': 54, 'PP': 1}",83257,16,262,5,3,1.5,10.05,-1.05,3.66,14,,gabriel,Gabriel,Gabriel,Gabriel Barbosa Almeida,https://s.glbimg.com/es/sde/f/2022/04/25/8ce4db9e01696fbbc278bb084f675352_FORMATO.png,Suspenso
14,"{'CA': 2, 'DE': 47, 'DS': 1, 'FS': 3, 'GS': 14, 'SG': 4}",96468,16,285,1,7,13.7,9.22,2.17,3.83,14,,daniel,Daniel,Daniel,Daniel de Sousa Brito,https://s.glbimg.com/es/sde/f/2022/04/02/9ce578918b5a7d98112629368b0a657d_FORMATO.png,Provável
