,clube,P
0,Corinthians,62.60443757318275
1,São Paulo,58.859960153998486
2,Flamengo,58.73370180107564
3,Santos,58.45377642251337
4,Atlético-MG,57.49870226141882
5,Palmeiras,56.99111689634065
6,Internacional,55.871408693912954
7,Bragantino,53.115096163729916
8,Fluminense,52.385578046316134
9,Botafogo,52.18336614613997
10,Goiás,49.34022257339646
11,Fortaleza,45.49195004176713
12,Ceará,45.06285301126554
13,Cuiabá,40.84122446420936
14,Atlético-GO,38.31772344421249
15,América-MG,37.941049335869046
16,Juventude,35.97342941562104
