,apelido,atleta_id,clube,posicao,media_casa,media_fora
0,Abel Braga,40006,Fluminense,TEC,4.135,4.9
1,Abel Ferreira,110506,Palmeiras,TEC,6.2075000000000005,4.26
2,Abner Vinícius,104513,Athletico-PR,LAT,9.299999999999999,-0.13333333333333333
3,Ademir,101314,Atlético-MG,ATA,4.7,6.8999999999999995
4,Aderlan,88423,Bragantino,LAT,3.75,3.1
5,Adrián Martínez,104778,Coritiba,ATA,1.1,2.5333333333333337
6,Adson,111682,Corinthians,MEI,2.4,4.9
7,Airton,106107,Atlético-GO,ATA,2.9499999999999997,-0.25
8,Alan Empereur,88033,Cuiabá,ZAG,1.25,4.3999999999999995
9,Alan Patrick,68685,Internacional,MEI,11.9,1.6
10,Alef Manga,101254,Coritiba,ATA,4.5,1.1666666666666667
11,Alemão,98219,Internacional,ATA,3.3666666666666667,4.0
12,Alerrandro,101715,Bragantino,ATA,3.266666666666666,0.9
13,Alesson,97321,Cuiabá,ATA,2.3,4.975
14,Alex Muralha,79066,Coritiba,GOL,4.166666666666667,2.3333333333333335
15,Alisson,81845,São Paulo,MEI,3.766666666666666,3.0
16,Allan,96652,Atlético-MG,MEI,2.2,1.6
17,Alê,86388,América-MG,MEI,5.1,4.5
18,Andreas Pereira,89274,Flamengo,MEI,1.2,0.4666666666666666
19,Andrey,93787,Coritiba,MEI,14.533333333333333,4.0
20,André,68690,Cuiabá,ATA,-0.44999999999999996,1.4
21,André,107498,Fluminense,MEI,4.166666666666667,-3.1
22,André Anderson,106803,São Paulo,MEI,1.1,2.3
23,André Luís,92146,Cuiabá,ATA,0.7,0.85
24,Andrés,110517,São Paulo,MEI,-0.15000000000000002,3.6
25,Andrés Hurtado,110715,Bragantino,LAT,1.8,3.9
26,Antonio Mohamed,71071,Atlético-MG,TEC,6.0375,5.025
27,Apodi,51042,Goiás,MEI,7.0,1.7333333333333334
28,Arboleda,91573,São Paulo,ZAG,6.55,1.75
29,Arias,99815,Fluminense,MEI,2.3333333333333335,-0.2
30,Arrascaeta,87863,Flamengo,MEI,12.950000000000001,10.0
31,Arthur Chaves,111412,Avaí,ZAG,1.875,4.35
32,Arthur Henrique,86629,Atlético-GO,LAT,0.2,4.6
33,Artur,95799,Bragantino,ATA,2.8,0.2
34,Atuesta ,96754,Palmeiras,MEI,0.8000000000000002,-0.4
35,Auremir,77570,Goiás,MEI,-0.25,-0.1
36,Ayrton Lucas,88393,Flamengo,LAT,3.0,-1.3
37,Baralhas,99440,Atlético-GO,MEI,1.8,3.333333333333334
38,Bento,105208,Athletico-PR,GOL,6.666666666666667,1.0
39,Bissoli,100762,Avaí,ATA,7.300000000000001,2.45
40,Boschilia,86841,Internacional,MEI,3.8,1.55
41,Breno Lopes,93988,Palmeiras,ATA,0.6,0.0
42,Bressan,72491,Avaí,ZAG,2.4499999999999997,5.0
43,Bruninho,101716,Juventude,MEI,3.0,0.0
44,Bruno Cortez,72079,Avaí,LAT,2.8,2.8
45,Bruno Henrique,90285,Flamengo,ATA,9.6,6.949999999999999
46,Bruno Méndez,103700,Internacional,ZAG,3.8000000000000003,0.05000000000000002
47,Bruno Pacheco,90061,Ceará,LAT,1.2333333333333332,3.65
48,Bruno Silva,68698,Avaí,MEI,3.625,4.15
49,Bruno Tubarão,93637,Bragantino,ATA,3.8000000000000003,1.3666666666666665
50,Bryan Angulo,89435,Santos,ATA,4.366666666666666,0.5333333333333333
51,Bryan García,110013,Athletico-PR,MEI,0.9333333333333335,0.0
52,Busanello,97537,Juventude,LAT,1.2,8.6
53,Bustos,96678,Internacional,LAT,3.6999999999999997,4.433333333333333
54,Caetano,103575,Goiás,ZAG,3.0999999999999996,3.4
55,Caio,101601,Goiás,MEI,1.85,0.3
56,Caio Paulista,102318,Fluminense,ATA,-0.1,2.033333333333333
57,Caio Vidal,107745,Internacional,ATA,0.9,0.45
58,Calebe,109461,Atlético-MG,MEI,0.0,0.0
59,Calegari,104276,Fluminense,LAT,4.15,4.3
60,Calleri,89840,São Paulo,ATA,17.0,5.066666666666666
61,Camacho,68770,Santos,MEI,0.9,0.0
62,Cano,79631,Fluminense,ATA,9.966666666666667,2.6999999999999997
63,Canobbio,102928,Athletico-PR,ATA,1.8666666666666665,2.5
64,Capixaba,94894,Juventude,ATA,3.6500000000000004,1.0
65,Carlos Eduardo,90917,Bragantino,ATA,1.8,4.0
66,Carlos de Pena,87242,Internacional,ATA,0.7333333333333333,5.2
67,Cauan de Almeida,107870,Internacional,TEC,3.97,0.0
68,Ceballos,115502,Fortaleza,ZAG,0.5499999999999999,0.95
69,Chay,104926,Botafogo,MEI,6.433333333333334,1.0
70,Chico,82407,Juventude,MEI,2.8333333333333335,1.7666666666666668
71,Christian,104502,Athletico-PR,MEI,1.2,1.55
