,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,Athletico-PR,Palmeiras,6.12,3.95,1.59,16.33986928104575,62.893081761006286,25.316455696202528
1,Flamengo,Santos,1.55,4.1,6.1,64.51612903225806,16.393442622950822,24.39024390243903
5,Internacional,Ceará,1.62,3.8,5.7,61.72839506172839,17.543859649122805,26.31578947368421
6,Fortaleza,Coritiba,1.55,3.94,6.24,64.51612903225806,16.025641025641026,25.380710659898476
8,Atlético-MG,Juventude,1.21,6.34,14.46,82.64462809917356,6.915629322268326,15.772870662460567
9,Cuiabá,Avaí,1.73,3.46,5.22,57.80346820809249,19.157088122605366,28.901734104046245
10,Goiás,Corinthians,3.33,2.84,2.33,30.03003003003003,42.91845493562232,35.21126760563381
11,Ceará,Fluminense,3.11,3.06,2.31,32.154340836012864,43.290043290043286,32.6797385620915
12,Botafogo,Cuiabá,1.88,3.33,4.07,53.191489361702125,24.570024570024568,30.03003003003003
13,São Paulo,Atlético-MG,2.83,3.07,2.55,35.3356890459364,39.21568627450981,32.57328990228013
