,mandante,visitante,prob_vitoria_mandante,prob_empate,prob_vitoria_visitante,prob_sg_mandante,prob_sg_visitante
0,Bragantino,Atlético-MG,34.95353345748515,22.72718767780199,42.31892268326138,17.113441326597766,20.413049293767227
1,Flamengo,Goiás,64.45651365843365,18.975883995405066,16.5649132748276,34.27041424200646,10.267233360461923
2,Atlético-GO,Coritiba,10.810477350318672,33.53707940463806,55.65244070684611,33.39958927439078,72.49464599882958
3,Santos,Ceará,45.50128792757045,28.209030097319165,26.289667071065697,39.81882566440769,27.05842005235894
4,Juventude,Palmeiras,40.192359282397604,27.635862310852083,32.1717641289893,32.93412987951193,27.920792499919045
5,América-MG,Botafogo,37.78934957338176,28.88401883186362,33.326625264289746,34.34130398608525,31.412673968587235
6,Cuiabá,Internacional,45.49478616634461,28.99323480165788,25.511968873608097,42.13952170721675,28.419586389471007
7,Corinthians,São Paulo,53.43259234621485,26.228681513468423,20.338672151982593,44.44082573752341,22.396236431520283
8,Fortaleza,Fluminense,35.527904095416076,30.51089178881866,33.96120168037234,36.67107299666515,35.582416218688
9,Athletico-PR,Avaí,2.478465139236027,27.5849858468948,69.9365339035059,26.901942690962628,91.30820142027008
