,clube,xP,ranking_xp
0,Flamengo,35.26,1
1,Palmeiras,34.55,2
2,Atlético-MG,33.67,3
3,Internacional,31.479999999999997,4
4,Fluminense,29.59,5
5,São Paulo,29.14,6
6,Fortaleza,28.559999999999995,7
7,Bragantino,28.369999999999997,8
8,Atlético-GO,25.91,9
9,América-MG,25.53,10
10,Corinthians,24.860000000000003,11
11,Cuiabá,24.85,12
12,Botafogo,24.78,13
13,Ceará,24.430000000000003,14
14,Coritiba,23.87,15
15,Santos,23.76,16
16,Juventude,20.87,17
17,Athletico-PR,19.71,18
18,Goiás,19.46,19
19,Avaí,19.33,20
