,atleta_id,apelido,clube_id,xG,clube
0,114802,Vitor Roque,293,5.451946571171585,Athletico-PR
1,69318,Luis Suárez,284,5.423749157925275,Grêmio
2,84042,Tiquinho Soares,263,5.198427122679039,Botafogo
3,99818,Paulinho,282,5.097564255325297,Atlético-MG
4,83257,Gabriel,262,4.443012525491929,Flamengo
5,87470,Thaciano,265,4.083641778270781,Bahia
6,115915,Lelê,266,3.884018709055296,Fluminense
7,61188,Gilberto,283,3.8636727065731753,Cruzeiro
8,92708,Deyverson,1371,3.7852126598412177,Cuiabá
9,79631,Cano,266,3.780429006045912,Fluminense
10,89840,Calleri,276,3.6431991168202504,São Paulo
11,89898,Róger Guedes,264,3.5923343888643404,Corinthians
12,68920,Dudu,275,3.506780496964701,Palmeiras
13,101002,Júnior Santos,263,3.4647507959726633,Botafogo
14,95799,Artur,275,3.4122152261653564,Palmeiras
15,101960,Vitinho,280,3.3709395973644547,Bragantino
16,39148,Hulk,282,3.3588598533682905,Atlético-MG
17,90031,Mendoza,277,3.3114932374117125,Santos
18,80287,Luciano,276,3.294652001821144,São Paulo
19,105811,Wesley,283,3.1275312191061877,Cruzeiro
20,94509,Raphael Veiga,275,3.1253078007690225,Palmeiras
21,92811,Bruno Rodrigues,283,3.1250510454847675,Cruzeiro
22,109497,Marcos Leonardo,277,3.1033047759898817,Santos
23,73850,Aloísio,327,3.0518035279365123,América-MG
24,123360,Cauly,265,2.9852343419920837,Bahia
25,98022,Erick,293,2.9495607795176904,Athletico-PR
26,106199,Gabriel Pec,267,2.939851325529876,Vasco
27,100652,Yuri Alberto,264,2.8982140973015875,Corinthians
28,71844,Thiago Galhardo,356,2.870191634547226,Fortaleza
29,101254,Alef Manga,294,2.8606254953218757,Coritiba
30,84674,Lucas Evangelista,280,2.6828113577838946,Bragantino
31,70360,Eduardo Sasha,280,2.6182464750482066,Bragantino
32,91908,Pavón,282,2.5948851963377577,Atlético-MG
33,91607,Rony,275,2.5448301526291353,Palmeiras
34,98225,Pedro Raul,267,2.489586317217782,Vasco
35,87098,Matheus Peixoto,290,2.447801684267343,Goiás
36,80196,Yago Pikachu,356,2.3766156043472324,Fortaleza
37,104502,Christian,293,2.360997810713656,Athletico-PR
38,117314,Thiago Borbas,280,2.3332569894813786,Bragantino
39,102928,Canobbio,293,2.3114869289877027,Athletico-PR
40,94583,Pedro,262,2.308493470966959,Flamengo
41,72142,Danilo Avelar,327,2.307130308024572,América-MG
42,99267,Pochettino,356,2.252945559561775,Fortaleza
43,112140,Bitello,284,2.2117448934546893,Grêmio
44,84817,Robson,294,2.1822510788851313,Coritiba
45,104666,Moisés,356,2.1563963448420633,Fortaleza
46,108946,Victor Sá,263,2.0953474469978657,Botafogo
47,93108,Mateus Vital,283,2.0767236491675587,Cruzeiro
48,105568,Lucero,356,2.0480003265688884,Fortaleza
49,89846,Cristaldo,284,2.0154240119262408,Grêmio
50,106822,Rodrigo Nestor,276,2.0036745536569454,São Paulo
51,102318,Caio Paulista,276,1.9721920365491017,São Paulo
52,94207,Guilherme,356,1.9460147916314312,Fortaleza
53,86757,Everton,262,1.9374479495483725,Flamengo
54,113558,Bruninho,280,1.9152250319465716,Bragantino
55,110759,John Kennedy,266,1.9125499755201574,Fluminense
