,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_visitante
1025,Raniele,95556,Cuiabá,MEI,1.8,13.6,América-MG,visitante,7.0,10.3
1026,Wanderson,93478,Internacional,ATA,11.7,9.9,São Paulo,visitante,0.0,9.9
1027,Yago Pikachu,80196,Fortaleza,MEI,1.35,16.0,Corinthians,visitante,3.0,9.5
1028,Gabriel Pec,106199,Vasco,ATA,8.7,16.9,Fluminense,visitante,1.5,9.2
1029,Gerson,89256,Flamengo,MEI,5.8,8.9,Athletico-PR,visitante,0.0,8.9
1030,Alemão,98219,Internacional,ATA,0.3500000000000001,8.2,São Paulo,visitante,0.0,8.2
1031,Alan Patrick,68685,Internacional,MEI,1.7000000000000002,7.9,São Paulo,visitante,0.0,7.9
1032,Fernando Miguel,71571,Fortaleza,GOL,1.5,12.0,Corinthians,visitante,3.0,7.5
1033,Guilherme,94207,Fortaleza,ATA,2.4,11.7,Corinthians,visitante,3.0,7.35
1034,Ronald Lopes,100969,Cuiabá,MEI,0.6,0.0,América-MG,visitante,7.0,7.0
1035,Alan Empereur,88033,Cuiabá,ZAG,2.5,0.0,América-MG,visitante,7.0,7.0
1036,Denilson,115986,Cuiabá,MEI,1.65,0.0,América-MG,visitante,7.0,7.0
1037,Iury Castilho,89695,Cuiabá,ATA,0.3,0.0,América-MG,visitante,7.0,7.0
1038,Wellington Silva,68895,Cuiabá,ATA,0.85,0.0,América-MG,visitante,7.0,7.0
1039,Bruno Pacheco,90061,Fortaleza,LAT,5.3500000000000005,10.5,Corinthians,visitante,3.0,6.75
1040,Andrey Santos,109591,Vasco,MEI,2.4,11.8,Fluminense,visitante,1.5,6.65
1041,Jonathan Cafu,78580,Cuiabá,ATA,2.1500000000000004,6.1,América-MG,visitante,7.0,6.55
1042,Juan Vojvoda,104754,Fortaleza,TEC,6.12,10.06,Corinthians,visitante,3.0,6.53
1043,Caio Alexandre,106323,Fortaleza,MEI,2.0999999999999996,10.0,Corinthians,visitante,3.0,6.5
1044,Rubens,110727,Atlético-MG,LAT,5.300000000000001,13.5,Botafogo,visitante,-1.0,6.25
1045,Nathan,107676,Santos,LAT,3.5999999999999996,8.4,Cruzeiro,visitante,4.0,6.2
1046,Artur,95799,Palmeiras,ATA,4.0,10.9,Goiás,visitante,1.0,5.95
1047,Silvio Romero,79188,Fortaleza,ATA,0.0,8.9,Corinthians,visitante,3.0,5.95
1048,Renê,78445,Internacional,LAT,5.3,5.9,São Paulo,visitante,0.0,5.9
1049,PK,91190,Cuiabá,LAT,-0.10000000000000009,4.5,América-MG,visitante,7.0,5.75
1050,Ivo Vieira,121593,Cuiabá,TEC,3.25,4.23,América-MG,visitante,7.0,5.615
1051,Tinga,82628,Fortaleza,LAT,2.95,8.2,Corinthians,visitante,3.0,5.6
1052,Emerson Negueba,112370,Cuiabá,ATA,2.0,4.2,América-MG,visitante,7.0,5.6
1053,Rafael Navarro,105770,Palmeiras,ATA,1.8,9.8,Goiás,visitante,1.0,5.4
1054,Bruno Gomes,106202,Coritiba,MEI,5.25,7.5,Bahia,visitante,3.0,5.25
1055,Léo Jardim,87008,Vasco,GOL,4.0,9.0,Fluminense,visitante,1.5,5.25
1056,Thiago Borbas,117314,Bragantino,ATA,1.5,5.8,Grêmio,visitante,4.0,4.9
1057,Fernando Sobral,84428,Cuiabá,MEI,2.1,2.8,América-MG,visitante,7.0,4.9
1058,Dudu,68920,Palmeiras,ATA,6.05,8.7,Goiás,visitante,1.0,4.85
1059,Matheus França,115100,Flamengo,MEI,3.1999999999999997,4.8,Athletico-PR,visitante,0.0,4.8
1060,Ceppelini,72762,Cuiabá,MEI,0.9999999999999999,2.4,América-MG,visitante,7.0,4.7
1061,Vidal,69375,Flamengo,MEI,3.7,4.7,Athletico-PR,visitante,0.0,4.7
1062,Brítez,101995,Fortaleza,ZAG,4.15,6.3,Corinthians,visitante,3.0,4.65
1063,Titi,50353,Fortaleza,ZAG,1.35,6.2,Corinthians,visitante,3.0,4.6
1064,Allyson,124340,Cuiabá,ZAG,1.9,2.2,América-MG,visitante,7.0,4.6
1065,Marllon,70666,Cuiabá,ZAG,8.3,2.2,América-MG,visitante,7.0,4.6
1066,Deyverson,92708,Cuiabá,ATA,2.3000000000000003,2.1,América-MG,visitante,7.0,4.55
1067,Mano Menezes,37281,Internacional,TEC,6.8100000000000005,4.55,São Paulo,visitante,0.0,4.55
1068,Jamerson,116461,Coritiba,LAT,2.5999999999999996,6.0,Bahia,visitante,3.0,4.5
1069,Eduardo Santos,106434,Bragantino,ZAG,1.75,5.0,Grêmio,visitante,4.0,4.5
1070,Walter,51413,Cuiabá,GOL,1.0,2.0,América-MG,visitante,7.0,4.5
1071,Gabriel Menino,103767,Palmeiras,MEI,2.3,7.6,Goiás,visitante,1.0,4.3
1072,Eduardo Sasha,70360,Bragantino,ATA,5.5,4.5,Grêmio,visitante,4.0,4.25
1073,Johnny,106002,Internacional,MEI,1.6,4.1,São Paulo,visitante,0.0,4.1
1074,Matheus Alexandre,103347,Cuiabá,LAT,0.0,1.2,América-MG,visitante,7.0,4.1
1075,Gabriel Inocêncio,93702,Santos,LAT,3.25,0.0,Cruzeiro,visitante,4.0,4.0
1076,Lucas Pires,114374,Santos,LAT,4.9,0.0,Cruzeiro,visitante,4.0,4.0
1077,John Victor,94044,Internacional,GOL,7.0,4.0,São Paulo,visitante,0.0,4.0
1078,Lucão,106160,Bragantino,GOL,0.5,0.0,Grêmio,visitante,4.0,4.0
1079,João Paulo,85425,Santos,GOL,6.5,4.0,Cruzeiro,visitante,4.0,4.0
1080,Cleiton,93882,Bragantino,GOL,-3.0,0.0,Grêmio,visitante,4.0,4.0
1081,Bruninho,113558,Bragantino,MEI,7.05,0.0,Grêmio,visitante,4.0,4.0
1082,Alerrandro,101715,Bragantino,ATA,0.2,0.0,Grêmio,visitante,4.0,4.0
1083,Realpe,106299,Bragantino,ZAG,-0.6,0.0,Grêmio,visitante,4.0,4.0
1084,Ed Carlos,118747,Santos,MEI,0.0,0.0,Cruzeiro,visitante,4.0,4.0
1085,Andrés Hurtado,110715,Bragantino,LAT,2.1,0.0,Grêmio,visitante,4.0,4.0
1086,Luan Dias,107416,Santos,MEI,-1.6,0.0,Cruzeiro,visitante,4.0,4.0
1087,Mendoza,90031,Santos,ATA,20.8,0.0,Cruzeiro,visitante,4.0,4.0
1088,Talisson,122393,Bragantino,ATA,3.8,0.0,Grêmio,visitante,4.0,4.0
1089,Alison,73974,Santos,MEI,0.0,0.0,Cruzeiro,visitante,4.0,4.0
1090,Wesley,115239,Flamengo,LAT,2.8000000000000003,3.9,Athletico-PR,visitante,0.0,3.9
1091,Lucas Evangelista,84674,Bragantino,MEI,1.4,3.7,Grêmio,visitante,4.0,3.85
1092,Maurício Barbieri,82792,Vasco,TEC,3.705,6.05,Fluminense,visitante,1.5,3.775
1093,Isidro Pitta,108133,Cuiabá,ATA,0.65,0.5,América-MG,visitante,7.0,3.75
1094,Odair Hellmann,92273,Santos,TEC,6.43,3.33,Cruzeiro,visitante,4.0,3.665
1095,Filipe Augusto,79268,Cuiabá,MEI,0.9,0.3,América-MG,visitante,7.0,3.65
1096,Jorge Sampaoli,70800,Flamengo,TEC,5.29,3.64,Athletico-PR,visitante,0.0,3.64
1097,Piquerez,102130,Palmeiras,LAT,-1.4,6.2,Goiás,visitante,1.0,3.6
1098,Jair,81091,Vasco,MEI,1.9,5.4,Fluminense,visitante,1.5,3.45
1099,Pedro,94583,Flamengo,ATA,5.8,3.4,Athletico-PR,visitante,0.0,3.4
1100,Júnior Urso,71829,Coritiba,MEI,0.5,3.8,Bahia,visitante,3.0,3.4
1101,Baralhas,99440,Internacional,MEI,0.9,3.4,São Paulo,visitante,0.0,3.4
1102,Aderlan,88423,Bragantino,LAT,3.05,2.8,Grêmio,visitante,4.0,3.4
1103,Pedro Caixinha,117711,Bragantino,TEC,3.91,2.64,Grêmio,visitante,4.0,3.3200000000000003
1104,Marcos Leonardo,109497,Santos,ATA,6.75,2.6,Cruzeiro,visitante,4.0,3.3
1105,Eduardo Bauermann,86970,Santos,ZAG,6.7,2.5,Cruzeiro,visitante,4.0,3.25
1106,Lucas Piton,105584,Vasco,LAT,1.35,5.0,Fluminense,visitante,1.5,3.25
1107,Matheus Fernandes,94067,Bragantino,MEI,7.800000000000001,2.4,Grêmio,visitante,4.0,3.2
1108,Messias,87402,Santos,ZAG,5.3,2.4,Cruzeiro,visitante,4.0,3.2
1109,Soteldo,87258,Santos,ATA,7.7,2.4,Cruzeiro,visitante,4.0,3.2
1110,Abel Ferreira,110506,Palmeiras,TEC,5.955,5.21,Goiás,visitante,1.0,3.105
1111,Mateusinho,111879,Cuiabá,LAT,9.649999999999999,-0.8,América-MG,visitante,7.0,3.1
1112,Ayrton Lucas,88393,Flamengo,LAT,8.95,3.1,Athletico-PR,visitante,0.0,3.1
1113,Natanael,107554,Coritiba,LAT,10.600000000000001,3.1,Bahia,visitante,3.0,3.05
1114,Antônio Carlos Zago,69029,Coritiba,TEC,5.25,0.0,Bahia,visitante,3.0,3.0
1115,Thiago Galhardo,71844,Fortaleza,ATA,5.1,0.0,Corinthians,visitante,3.0,3.0
1116,Willian Farias,63058,Coritiba,MEI,2.35,0.0,Bahia,visitante,3.0,3.0
