,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_mandante
1545,Mendoza,90031,Santos,ATA,10.885714285714286,1.92,Athletico-PR,mandante,3.025,6.955357142857143
1546,Gilberto,80313,Bahia,LAT,10.4,3.9,América-MG,mandante,2.875,6.6375
1547,Calleri,89840,São Paulo,ATA,8.214285714285712,4.133333333333334,Atlético-MG,mandante,4.388888888888889,6.3015873015873005
1548,Marcos Leonardo,109497,Santos,ATA,9.383333333333335,4.983333333333333,Athletico-PR,mandante,3.025,6.2041666666666675
1549,Sander,86391,Goiás,LAT,6.687499999999999,5.166666666666667,Fortaleza,mandante,5.5,6.09375
1550,Luciano,80287,São Paulo,ATA,7.6,2.071428571428571,Atlético-MG,mandante,4.388888888888889,5.9944444444444445
1551,Matheus Babi,94444,Goiás,ATA,6.4,0.0,Fortaleza,mandante,5.5,5.95
1552,Thiago Kosloski,125470,Coritiba,TEC,8.004999999999999,5.666666666666667,Bragantino,mandante,3.875,5.9399999999999995
1553,Marcelo,38402,Fluminense,LAT,8.0,5.3,Palmeiras,mandante,3.5555555555555554,5.777777777777778
1554,Zé Ricardo,102911,Goiás,MEI,5.916666666666667,4.228571428571429,Fortaleza,mandante,5.5,5.708333333333334
1555,John Victor,94044,Internacional,GOL,7.3,3.875,Corinthians,mandante,4.077777777777778,5.688888888888889
1556,Diogo Oliveira,125992,Coritiba,ATA,7.4,8.8,Bragantino,mandante,3.875,5.6375
1557,Patryck,106829,São Paulo,LAT,6.800000000000001,7.15,Atlético-MG,mandante,4.388888888888889,5.594444444444445
1558,Dorival Júnior,40990,São Paulo,TEC,6.764444444444445,3.8400000000000003,Atlético-MG,mandante,4.388888888888889,5.576666666666667
1559,Alef Manga,101254,Coritiba,ATA,7.159999999999999,7.18,Bragantino,mandante,3.875,5.5175
1560,Mateusinho,111879,Cuiabá,LAT,9.649999999999999,2.066666666666667,Flamengo,mandante,1.3333333333333333,5.491666666666666
1561,Natanael,107554,Coritiba,LAT,7.057142857142858,3.0428571428571436,Bragantino,mandante,3.875,5.4660714285714285
1562,Robson,84817,Coritiba,ATA,7.012500000000001,4.1571428571428575,Bragantino,mandante,3.875,5.4437500000000005
1563,Arboleda,91573,São Paulo,ZAG,6.349999999999999,3.033333333333333,Atlético-MG,mandante,4.388888888888889,5.369444444444444
1564,Matheus Peixoto,87098,Goiás,ATA,5.1000000000000005,2.4714285714285715,Fortaleza,mandante,5.5,5.300000000000001
1565,Biel,110760,Bahia,ATA,7.675,4.7,América-MG,mandante,2.875,5.275
1566,Raí Ramos,90232,São Paulo,LAT,6.1,3.233333333333333,Atlético-MG,mandante,4.388888888888889,5.2444444444444445
1567,David,90309,São Paulo,ATA,6.0200000000000005,0.55,Atlético-MG,mandante,4.388888888888889,5.204444444444444
1568,Emerson Ávila,50456,Goiás,TEC,4.7379999999999995,2.814,Fortaleza,mandante,5.5,5.119
1569,Bustos,96678,Internacional,LAT,6.05,4.483333333333333,Corinthians,mandante,4.077777777777778,5.063888888888889
1570,Julián Palacios,111996,Goiás,MEI,4.3999999999999995,1.542857142857143,Fortaleza,mandante,5.5,4.949999999999999
1571,Lucas Beraldo,112136,São Paulo,ZAG,5.5,2.725,Atlético-MG,mandante,4.388888888888889,4.944444444444445
1572,Alexsander,118774,Fluminense,LAT,6.2,4.766666666666667,Palmeiras,mandante,3.5555555555555554,4.877777777777778
1573,Morelli,99412,Goiás,MEI,4.249999999999999,2.9428571428571426,Fortaleza,mandante,5.5,4.875
1574,Eduardo Bauermann,86970,Santos,ZAG,6.7,2.5,Athletico-PR,mandante,3.025,4.8625
