,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Cruzeiro,79.33833333333334,1,60.48333333333333,11,98.19333333333334,1
1,Fluminense,78.30333333333333,2,72.99333333333333,7,83.61333333333333,3
2,Palmeiras,76.265,3,68.685,10,83.845,2
3,Fortaleza,72.88,4,69.35333333333334,9,76.40666666666667,4
4,Botafogo,71.79666666666667,5,82.81666666666668,4,60.776666666666664,6
5,Atlético-MG,70.88166666666666,6,69.93666666666667,8,71.82666666666667,5
6,Santos,70.57333333333332,7,85.13999999999999,2,56.00666666666667,7
7,São Paulo,70.31875,8,88.6,1,52.0375,9
8,Flamengo,68.29666666666667,9,84.84,3,51.75333333333333,10
9,Athletico-PR,62.83,10,76.70666666666666,6,48.95333333333334,13
10,Grêmio,59.843333333333334,11,77.71666666666667,5,41.97,17
11,Bahia,54.49666666666666,12,54.04333333333333,13,54.949999999999996,8
12,Internacional,51.31333333333333,13,55.79,12,46.836666666666666,14
13,Vasco,46.27666666666666,14,42.32666666666666,18,50.22666666666666,11
14,Bragantino,44.968333333333334,15,43.71666666666666,17,46.22,15
15,Coritiba,43.275000000000006,16,45.99,16,40.56,18
16,Goiás,42.77,17,51.61333333333334,14,33.92666666666667,19
17,América-MG,40.455,18,31.346666666666664,20,49.56333333333333,12
18,Cuiabá,39.535,19,35.5,19,43.57,16
19,Corinthians,39.28,20,47.9,15,30.66,20
