,clube,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora
0,Flamengo,1.8333333333333333,0.6666666666666666,2.0,2.0
1,Botafogo,2.0,0.16666666666666666,1.3333333333333333,1.0
2,Corinthians,1.2,0.8,0.42857142857142855,1.5714285714285714
3,Bahia,1.5,1.5,0.6666666666666666,1.5
4,Fluminense,1.6666666666666667,0.5,1.5,1.5
5,Vasco,0.6666666666666666,1.6666666666666667,1.0,1.5
6,Palmeiras,2.1666666666666665,1.0,1.5,0.6666666666666666
7,São Paulo,2.0,1.0,0.6666666666666666,1.0
8,Santos,1.2857142857142858,1.2857142857142858,0.4,1.0
9,Bragantino,2.0,0.8571428571428571,1.4,1.6
10,Atlético-MG,1.4,1.0,1.1428571428571428,0.8571428571428571
11,Cruzeiro,0.42857142857142855,0.8571428571428571,2.2,0.8
12,Grêmio,2.2857142857142856,1.0,1.0,2.0
13,Internacional,1.4,0.8,0.8571428571428571,1.4285714285714286
14,Goiás,1.4,1.8,0.5714285714285714,1.5714285714285714
15,Athletico-PR,1.5,0.8333333333333334,1.0,1.6666666666666667
16,Coritiba,0.5,1.3333333333333333,1.0,2.8333333333333335
17,América-MG,1.0,1.7142857142857142,1.2,2.4
18,Fortaleza,1.5,0.6666666666666666,0.8333333333333334,0.6666666666666666
19,Cuiabá,0.6,1.8,0.8571428571428571,1.1428571428571428
