,clube,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora,Goal_geral,GoalA_geral,Goal_diff_casa,Goal_diff_fora,Goal_diff_geral
0,Botafogo,2.0,0.125,1.5,1.0,1.75,0.5625,1.875,0.5,1.1875
1,Palmeiras,2.125,1.0,1.375,0.75,1.75,0.875,1.125,0.625,0.875
2,Flamengo,1.75,0.625,1.625,1.625,1.6875,1.125,1.125,0.0,0.5625
3,São Paulo,2.125,0.875,0.625,1.0,1.375,0.9375,1.25,-0.375,0.4375
4,Fluminense,1.5,0.375,1.125,1.5,1.3125,0.9375,1.125,-0.375,0.375
5,Cruzeiro,0.3333333333333333,0.7777777777777778,1.7142857142857142,0.5714285714285714,1.0238095238095237,0.6746031746031746,-0.4444444444444445,1.1428571428571428,0.3492063492063491
6,Bragantino,1.5555555555555556,0.6666666666666666,1.1666666666666667,1.6666666666666667,1.3611111111111112,1.1666666666666667,0.888888888888889,-0.5,0.19444444444444442
7,Athletico-PR,1.625,0.875,1.0,1.375,1.3125,1.125,0.75,-0.375,0.1875
8,Fortaleza,1.25,0.625,0.75,1.125,1.0,0.875,0.625,-0.375,0.125
9,Grêmio,1.8888888888888888,1.0,1.1666666666666667,1.8333333333333333,1.5277777777777777,1.4166666666666665,0.8888888888888888,-0.6666666666666665,0.11111111111111116
10,Atlético-MG,1.1428571428571428,1.1428571428571428,0.8888888888888888,0.7777777777777778,1.0158730158730158,0.9603174603174602,0.0,0.11111111111111105,0.05555555555555558
11,Internacional,1.0,0.5714285714285714,0.6666666666666666,1.3333333333333333,0.8333333333333333,0.9523809523809523,0.4285714285714286,-0.6666666666666666,-0.11904761904761907
12,Cuiabá,1.125,1.25,0.875,1.0,1.0,1.125,-0.125,-0.125,-0.125
13,Corinthians,1.2,0.8,0.4444444444444444,1.2222222222222223,0.8222222222222222,1.011111111111111,0.3999999999999999,-0.7777777777777779,-0.18888888888888888
14,Bahia,1.25,1.375,0.5,1.5,0.875,1.4375,-0.125,-1.0,-0.5625
15,Santos,1.6666666666666667,1.5555555555555556,0.42857142857142855,1.7142857142857142,1.0476190476190477,1.6349206349206349,0.11111111111111116,-1.2857142857142856,-0.5873015873015872
16,Goiás,1.1428571428571428,1.5714285714285714,0.8888888888888888,1.6666666666666667,1.0158730158730158,1.619047619047619,-0.4285714285714286,-0.7777777777777779,-0.6031746031746033
17,Coritiba,1.0,1.125,1.0,2.25,1.0,1.6875,-0.125,-1.25,-0.6875
18,América-MG,1.0,1.7142857142857142,1.25,2.125,1.125,1.9196428571428572,-0.7142857142857142,-0.875,-0.7946428571428572
19,Vasco,0.5,1.625,0.8571428571428571,1.5714285714285714,0.6785714285714286,1.5982142857142856,-1.125,-0.7142857142857143,-0.919642857142857
