,clube,xG_mean,xG_total
0,Fortaleza,1.6123885398533218,20.961051018093176
1,Grêmio,1.5889455019727892,20.656291525646257
2,Palmeiras,1.5377581942909346,19.99085652578214
3,Cruzeiro,1.443011463543385,18.759149026064012
4,Athletico-PR,1.429383368633091,18.58198379223019
5,Bragantino,1.4962345957073273,17.954815148487924
6,Bahia,1.3701980962251963,17.812575250927555
7,Flamengo,1.3667361746917588,17.767570270992856
8,São Paulo,1.3267521033844614,17.247777343997996
9,Botafogo,1.3124934356057212,17.062414662874374
10,Atlético-MG,1.2868813956650462,16.729458143645594
11,América-MG,1.2504258622328719,16.25553620902733
12,Fluminense,1.2375108104802548,16.087640536243313
13,Coritiba,1.1941588399843164,15.524064919796105
14,Cuiabá,1.1362826530166232,14.771674489216108
15,Goiás,1.1258894726344013,14.636563144247214
16,Vasco,1.072964265929231,13.948535457080004
17,Internacional,1.067955093734852,13.883416218553077
18,Santos,0.9860306709570261,12.818398722441342
19,Corinthians,1.0616420266361668,12.739704319633997
