,clube,xGA_geral
0,Atlético-MG,0.950243982752202
1,Palmeiras,1.0443939401792564
2,Cruzeiro,1.083644132028501
3,Cuiabá,1.123205053503901
4,Athletico-PR,1.128437349362013
5,São Paulo,1.1821788661106596
6,Bahia,1.186693682695914
7,Fortaleza,1.1994824658850882
8,Vasco,1.2327211635621222
9,Botafogo,1.2535065199053266
10,Santos,1.2647285973906122
11,Bragantino,1.319838845631689
12,América-MG,1.333395149334777
13,Internacional,1.3576410795436034
14,Corinthians,1.3803616064050326
15,Coritiba,1.4107068861020817
16,Fluminense,1.431988109119315
17,Goiás,1.4377664559397747
18,Flamengo,1.5315726382566797
19,Grêmio,1.6296030761719513
