,clube,xG_casa,xGA_casa,xG_fora,xGA_fora,xG_geral,xGA_geral,xG_diff_casa,xG_diff_fora,xG_diff_geral
0,Palmeiras,2.1010807063120054,0.8102495724630981,1.0310708654288665,1.2785383078954147,1.566075785870436,1.0443939401792564,1.2908311338489074,-0.24746744246654817,0.5216818456911796
1,Atlético-MG,1.653219351297872,0.9915816710378265,1.0751631883208241,0.9089062944665777,1.3641912698093481,0.950243982752202,0.6616376802600454,0.16625689385424647,0.4139472870571461
2,Athletico-PR,1.821424424840102,0.9052463441060682,1.0296694200736518,1.3516283546179577,1.4255469224568769,1.128437349362013,0.9161780807340337,-0.3219589345443059,0.29710957309486385
3,Fortaleza,1.5230288390656035,0.9433959468236238,1.4434776028447416,1.4555689849465527,1.4832532209551725,1.1994824658850882,0.5796328922419797,-0.012091382101811154,0.2837707550700843
4,Cruzeiro,1.5039832184075592,0.9871621632731865,1.2139227570156486,1.1801261007838157,1.358952987711604,1.083644132028501,0.5168210551343727,0.03379665623183281,0.2753088556831029
5,São Paulo,1.659754131355708,1.0086472821025834,1.0085950031615794,1.3557104501187356,1.3341745672586436,1.1821788661106596,0.6511068492531247,-0.34711544695715624,0.151995701147984
6,Cuiabá,1.25267723765798,0.7290143265756723,1.127767090762522,1.5173957804321299,1.190222164210251,1.123205053503901,0.5236629110823077,-0.38962868966960795,0.06701711070634997
7,Bahia,1.4008179820802995,1.1597030125179388,1.1050543664240597,1.2136843528738894,1.2529361742521796,1.186693682695914,0.24111496956236067,-0.10862998644982969,0.0662424915562656
8,Botafogo,1.79087364896217,0.7398731112400553,0.8376057893857041,1.7671399285705978,1.314239719173937,1.2535065199053266,1.0510005377221145,-0.9295341391848937,0.06073319926861043
9,Bragantino,1.6219725471111874,0.901825044881233,1.0999722440382311,1.737852646382145,1.3609723955747093,1.319838845631689,0.7201475022299544,-0.637880402343914,0.04113354994302032
10,América-MG,1.4166499342766428,1.1081073854451422,1.31512411948932,1.558682913224412,1.3658870268829815,1.333395149334777,0.30854254883150056,-0.24355879373509204,0.03249187754820437
11,Grêmio,1.785932269646502,1.4844491322548774,1.3362871390925293,1.774757020089025,1.5611097043695157,1.6296030761719513,0.3014831373916247,-0.43846988099649575,-0.06849337180243564
12,Vasco,1.1836433100700134,0.8336380577953229,0.8993720886265775,1.6318042693289219,1.0415076993482955,1.2327211635621222,0.3500052522746906,-0.7324321807023444,-0.1912134642138268
13,Fluminense,1.2970016929165362,1.0204724429182586,1.1253362962504532,1.8435037753203716,1.2111689945834947,1.431988109119315,0.27652924999827766,-0.7181674790699184,-0.22081911453582026
14,Coritiba,1.3713300592720323,1.2246850264740663,0.948247777633532,1.5967287457300972,1.159788918452782,1.4107068861020817,0.14664503279796604,-0.6484809680965652,-0.25091796764929963
15,Internacional,1.293510017109029,1.247817633374426,0.8833809538388157,1.4674645257127805,1.0884454854739223,1.3576410795436034,0.04569238373460305,-0.5840835718739649,-0.2691955940696811
16,Flamengo,1.3980216946492585,1.5236913786717567,1.079347675354795,1.5394538978416024,1.2386846850020268,1.5315726382566797,-0.12566968402249823,-0.4601062224868073,-0.2928879532546529
17,Corinthians,1.2818764870610866,1.1537929116597003,0.8602253967010698,1.6069303011503646,1.071050941881078,1.3803616064050326,0.12808357540138626,-0.7467049044492948,-0.3093106645239545
18,Goiás,1.1992493380525533,1.1974680195367797,0.9926216681498692,1.67806489234277,1.0959355031012112,1.4377664559397747,0.0017813185157735667,-0.6854432241929007,-0.34183095283856346
19,Santos,1.1299321765297452,1.1071922061860329,0.7001661837974641,1.4222649885951915,0.9150491801636047,1.2647285973906122,0.022739970343712335,-0.7220988047977274,-0.34967941722700746
