,clube,xG_total,xGA_total,xG_saldo
0,Palmeiras,17.252563957869818,10.885596680482669,6.366967277387149
1,Cruzeiro,17.110374909358335,11.777126909283119,5.333248000075216
2,Atlético-MG,13.61755317022417,10.055465022252449,3.5620881479717212
3,Fortaleza,17.128399288634256,13.842033369163216,3.2863659194710397
4,Bahia,15.308171290886673,12.362092712042188,2.946078578844485
5,Botafogo,15.295949652168083,13.201024523149552,2.094925129018531
6,São Paulo,15.178888220681383,13.91541326723891,1.2634749534424738
7,Bragantino,15.464704911638567,14.326054140094769,1.138650771543798
8,Athletico-PR,13.163955579600309,13.000471620956613,0.16348395864369536
9,Cuiabá,13.031636984563292,13.219116494059863,-0.18747950949657088
10,Corinthians,12.267937779912248,12.530777326769675,-0.2628395468574265
11,Grêmio,17.00693047801765,18.185903960982806,-1.178973482965155
12,Vasco,12.34259754614719,13.523649358103729,-1.1810518119565394
13,América-MG,13.204628007679258,15.736225767334721,-2.5315977596554635
14,Santos,10.52057049252393,13.371129123719241,-2.8505586311953106
15,Fluminense,13.717208233302209,16.694786219952956,-2.977577986650747
16,Coritiba,11.313312826092908,14.374953716990905,-3.0616408908979977
17,Internacional,12.009022771569494,15.109126633062978,-3.1001038614934835
18,Flamengo,15.260960795110469,18.660557258070455,-3.3995964629599857
19,Goiás,11.76119365842993,17.185056450699363,-5.423862792269434
