,rodada_id,atleta_id,apelido,clube,posicao,preco_open,pontos_num,variacao_num,ieo_gm_mean,iao_gm_mean,ied_gm_mean,ieg_gm_mean,iro_gm,irp_gm,ippc_gm_mean,ranking_clube,fase,prob_vitoria_mandante,prob_vitoria_visitante,prob_vitoria,mando,XP_mandante,XP_visitante,XP,media_movel_mandante,media_movel_visitante,media_movel,odds,points_next,binary_prob
1885,11,97321,Alesson,Goiás,ATA,4.24,0.0,0.0,8.264545454545454,4.545454545454546,31.692145363344196,12.29198628856109,2.7754545454545454,3.346746111583997,0.6237889589602205,0,5,43.9402014776439,11.228664021247756,11.228664021247756,visitante,0.0,3.558333333333333,0,3.333333333333333,2.033333333333333,3.333333333333333,0,0,1.0
1795,11,115915,Lelê,Fluminense,ATA,10.21,1.3,-0.92,14.376363636363635,3.03030303030303,26.39803416451043,12.29198628856109,15.570909090909087,4.493238330667444,0.3740615911482879,0,5,71.49696997582416,29.80558511461893,71.49696997582416,mandante,3.25,0.0,0,1.1,3.1,1.1,0,0,1.0
1191,11,87342,Kannemann,Grêmio,ZAG,8.35,0.0,0.0,9.090909090909092,0.0,40.273692545992276,12.736503012147582,2.1554545454545457,5.5872007968375526,0.4089156796287518,0,12,77.7399287162537,29.80558511461893,77.7399287162537,mandante,4.7,0.0,0,6.633333333333333,2.7,6.633333333333333,0,0,1.0
1781,11,70360,Eduardo Sasha,Bragantino,ATA,11.52,2.4,-0.81,52.78636363636363,8.636363636363637,28.62160350349098,12.29198628856109,11.526363636363639,8.754776016125637,0.6065267592652863,0,10,71.5607385166278,29.80558511461893,71.5607385166278,mandante,4.8,0.0,0,4.4,5.7333333333333325,4.4,0,0,1.0
1168,11,50317,David Braz,Fluminense,ZAG,5.07,2.3,0.5,0.0,0.0,28.4759194621906,13.020593921238492,0.0,2.3556783481169115,0.2573514883774536,0,5,71.49696997582416,29.80558511461893,71.49696997582416,mandante,4.166666666666667,0.0,0,2.433333333333333,1.95,2.433333333333333,0,0,1.0
1159,11,83528,Léo Pereira,Flamengo,ZAG,14.9,4.8,-0.2,17.355454545454545,5.454545454545454,42.40239930697019,13.269550391125193,3.5063636363636363,8.949911669957393,0.5422133259785868,0,10,43.9402014776439,38.26709920885635,38.26709920885635,visitante,0.0,3.529166666666667,0,6.925000000000002,3.05,6.925000000000002,0,0,1.0
2320,11,87863,Arrascaeta,Flamengo,MEI,12.67,3.8,0.25,6.992727272727272,0.0,28.75860441738749,12.29198628856109,8.229090909090909,4.039800478021407,0.208940503961666,0,10,43.9402014776439,38.26709920885635,38.26709920885635,visitante,0.0,5.529166666666668,0,3.6,7.666666666666668,3.6,0,0,1.0
1153,11,106835,Luan Patrick,Bragantino,ZAG,3.66,6.2,0.96,9.090909090909092,0.0,30.787949818601817,12.804251800826602,0.0,2.542194410180812,0.39423229658948,0,10,71.5607385166278,29.80558511461893,71.5607385166278,mandante,6.466666666666668,0.0,0,8.1,0.7,8.1,0,0,1.0
1790,11,109497,Marcos Leonardo,Santos,ATA,10.1,1.8,-0.23,13.732727272727272,3.636363636363636,23.778572664470843,12.29198628856109,15.287272727272727,4.427669303912318,0.2654307235284118,0,3,31.81012359382061,29.80558511461893,31.81012359382061,mandante,3.0500000000000003,0.0,0,1.8,3.3,1.8,0,0,1.0
2325,11,106002,Johnny,Internacional,MEI,8.299999999999999,3.6,-0.26,15.702727272727275,5.909090909090909,40.947500776949575,12.29198628856109,6.583636363636364,7.629345189975747,0.5594144280758694,0,10,43.9402014776439,34.33144561212136,34.33144561212136,visitante,0.0,5.879166666666666,0,15.0,7.666666666666668,15.0,0,0,1.0
