,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Cruzeiro,78.73833333333334,1,55.4525,13,98.19333333333334,1
1,Botafogo,77.48666666666666,2,86.2525,2,60.776666666666664,6
2,Santos,76.46333333333332,3,82.6725,3,56.00666666666666,7
3,Palmeiras,74.33666666666666,4,68.685,10,78.44333333333334,2
4,São Paulo,71.02833333333334,5,90.96333333333332,1,52.0375,10
5,Fortaleza,70.46166666666666,6,69.35333333333331,9,66.3875,4
6,Atlético-MG,70.14,7,69.93666666666667,8,66.12,5
7,Fluminense,65.04666666666667,8,72.99333333333334,6,71.2475,3
8,Flamengo,64.75500000000001,9,81.7425,4,51.75333333333333,11
9,Grêmio,54.71666666666667,10,72.69250000000001,7,41.97,17
10,Bahia,54.58833333333333,11,54.96,14,54.949999999999996,8
11,Athletico-PR,52.91833333333333,12,76.70666666666666,5,43.8875,16
12,Internacional,50.478333333333346,13,55.79000000000001,12,47.53750000000001,14
13,Bragantino,49.56833333333333,14,56.875,11,46.22,15
14,Goiás,46.461666666666666,15,51.61333333333334,15,35.7,19
15,Vasco,44.94499999999999,16,42.32666666666666,18,51.06,12
16,Cuiabá,44.30166666666667,17,35.5,20,52.50999999999999,9
17,América-MG,43.875,18,36.5225,19,49.56333333333333,13
18,Coritiba,43.376666666666665,19,43.81999999999999,17,40.56,18
19,Corinthians,35.45833333333333,20,47.900000000000006,16,31.667499999999997,20
