,clube,P
0,Botafogo,66.23781240840243
1,Flamengo,63.67664968399805
2,Palmeiras,61.32249941244953
3,Grêmio,58.910210908730775
4,Fluminense,56.69299889616822
5,São Paulo,56.5144851102638
6,Athletico-PR,55.96712340491567
7,Atlético-MG,55.42874462267174
8,Internacional,55.266081279629695
9,Bragantino,55.114036839486445
10,Cruzeiro,54.76425404771956
11,Fortaleza,52.91657746059474
12,Corinthians,51.84240190528913
13,Santos,48.95641595750527
14,Bahia,41.24942750769514
15,Cuiabá,40.28760014942915
16,Goiás,40.1855442159474
17,Vasco,37.97174693716441
18,Coritiba,37.72534386342033
19,América-MG,29.57236762298702
