,atleta_id,apelido,ranking
0,69318,Luis Suárez,1
1,114802,Vitor Roque,2
2,84042,Tiquinho Soares,3
3,112140,Bitello,4
4,83528,Léo Pereira,5
5,94968,Juninho Capixaba,6
6,89256,Gerson,7
7,97145,Villasanti,8
8,68708,Eduardo,9
9,94509,Raphael Veiga,10
10,84674,Lucas Evangelista,11
11,41929,Renato Gaúcho,12
12,111690,Matheus Cunha,13
13,109497,Marcos Leonardo,14
14,90285,Bruno Henrique,15
15,79113,Víctor Cuesta,16
16,91706,Marlon,17
17,87470,Thaciano,18
18,51772,Everton Ribeiro,19
19,90768,Fabrício Bruno,20
