,apelido,atleta_id,clube,posicao,media_casa,media_fora
0,Abel Ferreira,110506,Palmeiras,TEC,6.41,6.843333333333334
1,Acevedo,104783,Bahia,MEI,2.025,2.5666666666666664
2,Ademir,101314,Bahia,ATA,4.075,2.0
3,Aderlan,88423,Bragantino,LAT,5.125,2.0999999999999996
4,Adriel,107748,Grêmio,GOL,9.0,0.0
5,Adryelson,91664,Botafogo,ZAG,4.525,0.5333333333333333
6,Adson,111682,Corinthians,MEI,2.5,4.3
7,Adyson,115998,América-MG,ATA,0.9,2.4
8,Alan Empereur,88033,Cuiabá,ZAG,1.7,2.3666666666666667
9,Alan Patrick,68685,Internacional,MEI,1.8,5.533333333333334
10,Alef Manga,101254,Coritiba,ATA,8.45,3.65
11,Alemão,98219,Internacional,ATA,0.3500000000000001,2.5666666666666664
12,Alerrandro,101715,Bragantino,ATA,0.2,-0.8
13,Alesson,97321,Goiás,ATA,1.15,3.05
14,Alex Teixeira,60793,Vasco,MEI,3.966666666666667,1.4000000000000004
15,Alexsander,118774,Fluminense,LAT,6.2,4.766666666666667
16,Alison,73974,Santos,MEI,1.8,0.0
17,Alisson,81845,São Paulo,MEI,3.1999999999999997,2.125
18,Allyson,124340,Cuiabá,ZAG,1.9,2.2
19,Aloísio,73850,América-MG,ATA,7.233333333333334,8.2
20,Alê,86388,América-MG,MEI,0.37500000000000006,7.9
21,Andrey,93787,Coritiba,MEI,0.25,1.6
22,Andrey Santos,109591,Vasco,MEI,2.4,5.833333333333333
23,André,107498,Fluminense,MEI,3.1500000000000004,3.225
24,André,121792,Grêmio,ATA,-0.15,0.95
25,Andrés Hurtado,110715,Bragantino,LAT,3.8,2.1
26,Antônio Carlos Zago,69029,Coritiba,TEC,3.86,3.54
27,Apodi,51042,Goiás,LAT,5.3999999999999995,-0.1
28,Arboleda,91573,São Paulo,ZAG,7.2,2.9000000000000004
29,Arias,99815,Fluminense,MEI,3.233333333333333,2.0
30,Arrascaeta,87863,Flamengo,MEI,5.0,3.4000000000000004
31,Arthur Sales,111771,Bahia,ATA,1.2,1.4666666666666668
32,Artur,95799,Palmeiras,ATA,6.95,7.033333333333332
33,Ayrton Lucas,88393,Flamengo,LAT,8.0,2.6666666666666665
34,Baralhas,99440,Internacional,MEI,1.45,3.566666666666667
35,Barros,122485,Vasco,MEI,3.8,2.433333333333333
36,Battaglia,94845,Atlético-MG,MEI,0.10000000000000003,1.5999999999999999
37,Bento,105208,Athletico-PR,GOL,3.0,3.625
38,Benítez,93550,América-MG,MEI,6.4,2.55
39,Biel,110760,Bahia,ATA,7.675,3.75
40,Bitello,112140,Grêmio,MEI,6.875,6.033333333333334
41,Boschilia,86841,Coritiba,MEI,3.766666666666666,5.05
42,Breno,122991,América-MG,MEI,10.9,0.0
43,Breno Lopes,93988,Palmeiras,ATA,0.3,-0.1
44,Bruninho,113558,Bragantino,MEI,3.275,2.9
45,Bruno Alves,73620,Grêmio,ZAG,2.875,1.0333333333333334
46,Bruno Fuchs,104085,Atlético-MG,ZAG,2.5,4.033333333333334
47,Bruno Gomes,106202,Coritiba,MEI,5.15,4.5
48,Bruno Henrique,90285,Flamengo,ATA,1.1333333333333335,1.2
49,Bruno Melo,84339,Goiás,ZAG,3.6333333333333333,4.066666666666666
50,Bruno Mezenga,37865,Santos,ATA,0.0,1.2
51,Bruno Méndez,103700,Corinthians,ZAG,-0.6,0.6333333333333333
52,Bruno Pacheco,90061,Fortaleza,LAT,5.666666666666667,5.933333333333334
53,Bruno Rodrigues,92811,Cruzeiro,ATA,5.475,8.8
54,Bruno Santos,122668,Goiás,LAT,1.4,0.0
55,Bruno Tabata,107174,Palmeiras,MEI,0.65,0.0
56,Bruno Uvini,70221,Grêmio,ZAG,0.8,-0.75
57,Bruno Viana,92291,Coritiba,ZAG,1.8249999999999997,1.45
58,Bryan García,110013,Athletico-PR,MEI,0.0,0.0
59,Brítez,101995,Fortaleza,ZAG,3.233333333333334,4.066666666666666
60,Bustos,96678,Internacional,LAT,3.55,5.0
61,Caio Alexandre,106323,Fortaleza,MEI,3.0999999999999996,6.6499999999999995
62,Caio Paulista,102318,São Paulo,LAT,6.666666666666667,4.45
63,Calebe,109461,Fortaleza,MEI,4.066666666666667,2.95
64,Calleri,89840,São Paulo,ATA,10.1,3.9000000000000004
65,Camacho,68770,Santos,MEI,1.1,2.15
66,Cano,79631,Fluminense,ATA,4.633333333333334,5.075000000000001
67,Canobbio,102928,Athletico-PR,ATA,4.4,3.6
68,Cantillo,85315,Corinthians,MEI,8.9,0.0
69,Capasso,112913,Vasco,ZAG,0.0,0.0
70,Carabajal,98723,Vasco,MEI,1.6,5.8
71,Carballo,91254,Grêmio,MEI,1.4,-0.6
72,Carlos de Pena,87242,Internacional,MEI,3.866666666666667,2.8000000000000003
73,Cauly,123360,Bahia,MEI,4.1,2.6999999999999997
74,Ceballos,115502,Fortaleza,ZAG,6.2,3.0500000000000003
75,Ceppelini,72762,Cuiabá,MEI,1.133333333333333,1.7000000000000002
76,Chancellor,93166,Coritiba,ZAG,1.3,0.9999999999999999
77,Christian,104502,Athletico-PR,MEI,6.233333333333333,6.1000000000000005
78,Chrystian Barletta,107726,Corinthians,MEI,3.3,1.7
79,Cleiton,93882,Bragantino,GOL,1.5666666666666664,3.0
80,Cristaldo,89846,Grêmio,MEI,7.0,4.166666666666667
81,Cuiabano,116065,Grêmio,LAT,3.2,0.0
82,Cássio,42234,Corinthians,GOL,-0.5,0.625
83,Daniel,93791,Bahia,MEI,1.2,0.0
84,Daniel Borges,73318,Botafogo,LAT,5.9,0.0
85,Daniel Junior,116432,Cruzeiro,MEI,0.5,0.0
86,Daniel Ruiz,116672,Santos,MEI,1.125,0.9
87,Danilo Avelar,72142,América-MG,ZAG,-0.4,3.7
88,Danilo Barbosa,86777,Botafogo,MEI,2.8,5.45
89,Darlan,104593,Grêmio,MEI,0.2,0.0
90,David Braz,50317,Fluminense,ZAG,5.0,5.0
91,David Duarte,91772,Bahia,ZAG,3.375,3.0
92,David Luiz,52827,Flamengo,ZAG,3.3,13.3
93,Deivid Washington,124251,Santos,ATA,10.95,4.9
94,Denilson,115986,Cuiabá,MEI,2.433333333333333,1.25
95,Deyverson,92708,Cuiabá,ATA,1.7000000000000002,3.1999999999999997
96,Di Placido,98605,Botafogo,LAT,8.25,2.4333333333333336
97,Diego,101027,Goiás,MEI,4.8999999999999995,3.2249999999999996
98,Diego Costa,101728,São Paulo,ZAG,-0.3,2.75
99,Diego Gonçalves,90540,Goiás,ATA,0.6,1.2
100,Diego Rosa,107796,Bahia,MEI,1.65,0.5666666666666668
101,Diogo Barbosa,70916,Grêmio,LAT,5.65,0.29999999999999993
102,Dodi,89883,Santos,MEI,1.975,3.45
103,Dodô,107375,Goiás,MEI,-0.65,0.0
104,Dorival Júnior,40990,São Paulo,TEC,8.496666666666668,4.260000000000001
105,Du Queiroz,113687,Corinthians,MEI,-0.3,0.2
106,Dudu,68920,Palmeiras,ATA,4.925,7.3999999999999995
107,Ed Carlos,118747,Santos,MEI,0.0,1.0
108,Edenílson,63289,Atlético-MG,MEI,2.1333333333333333,2.725
109,Eduardo,68708,Botafogo,MEI,6.175,3.966666666666667
110,Eduardo Bauermann,86970,Santos,ZAG,6.7,2.5
111,Eduardo Coudet,94853,Atlético-MG,TEC,6.4366666666666665,5.970000000000001
112,Eduardo Santos,106434,Bragantino,ZAG,2.375,2.033333333333333
113,Eduardo Sasha,70360,Bragantino,ATA,5.075,5.1000000000000005
114,Emerson Ramon,112370,Cuiabá,ATA,1.7,1.4
115,Emerson Ávila,50456,Goiás,TEC,4.913333333333333,2.975
116,Emmanuel Martínez,103388,América-MG,MEI,3.25,2.766666666666666
117,Endrick,115959,Palmeiras,ATA,4.0,2.1666666666666665
118,Eric Ramires,103295,Bragantino,MEI,0.25,0.7999999999999999
119,Erick,98022,Athletico-PR,MEI,8.533333333333333,0.6
120,Erick Marcus,121184,Vasco,ATA,1.6,5.3
121,Erick Pulgar,91473,Flamengo,MEI,1.15,1.05
122,Estevão,117870,Internacional,MEI,0.2,0.0
