,apelido,atleta_id,clube,posicao,media_casa,media_fora
0,Abel Ferreira,110506,Palmeiras,TEC,6.8066666666666675,6.9275
1,Acevedo,104783,Bahia,MEI,1.3999999999999997,2.85
2,Ademir,101314,Bahia,ATA,4.966666666666667,2.1999999999999997
3,Aderlan,88423,Bragantino,LAT,7.2,1.4
4,Adryelson,91664,Botafogo,ZAG,6.040000000000001,2.25
5,Adson,111682,Corinthians,MEI,4.25,2.1
6,Alan Empereur,88033,Cuiabá,ZAG,-0.2,3.56
7,Alan Franco,99889,São Paulo,ZAG,-1.6,2.9499999999999997
8,Alan Patrick,68685,Internacional,MEI,1.8999999999999997,3.766666666666666
9,Alef Manga,101254,Coritiba,ATA,2.0,7.85
10,Alemão,98219,Internacional,ATA,3.0,-0.25
11,Alesson,97321,Goiás,ATA,2.8000000000000003,2.033333333333333
12,Alex Santana,85465,Athletico-PR,MEI,3.9,2.9333333333333336
13,Alex Teixeira,60793,Vasco,MEI,3.35,2.2800000000000002
14,Alexsander,118774,Fluminense,LAT,1.9,9.4
15,Alison,73974,Santos,MEI,2.85,0.25
16,Alisson,81845,São Paulo,MEI,3.6249999999999996,1.9333333333333333
17,Aloísio,73850,América-MG,ATA,5.460000000000001,8.6
18,Alê,86388,América-MG,MEI,-0.3,0.5
19,Andrey,93787,Coritiba,MEI,2.9,-1.3
20,André,107498,Fluminense,MEI,3.7,2.375
21,André,121792,Grêmio,ATA,0.0,0.05
22,Andrés Hurtado,110715,Bragantino,LAT,9.1,1.4
23,António Oliveira,111578,Cuiabá,TEC,4.26,6.5
24,Antônio Carlos Zago,69029,Coritiba,TEC,4.33,3.1075
25,Apodi,51042,Goiás,LAT,1.4666666666666668,0.0
26,Arboleda,91573,São Paulo,ZAG,6.800000000000001,2.9000000000000004
27,Arias,99815,Fluminense,MEI,4.666666666666667,4.5
28,Arrascaeta,87863,Flamengo,MEI,3.6,6.7
29,Arthur Sales,111771,Bahia,ATA,3.6500000000000004,2.2
30,Artur,95799,Palmeiras,ATA,9.666666666666666,5.3
31,Ayrton Lucas,88393,Flamengo,LAT,7.5,6.7
32,Baralhas,99440,Internacional,MEI,2.0,3.6500000000000004
33,Barros,122485,Vasco,MEI,2.15,2.6333333333333333
34,Battaglia,94845,Atlético-MG,MEI,1.7333333333333332,1.25
35,Bento,105208,Athletico-PR,GOL,2.75,7.8999999999999995
36,Benítez,93550,América-MG,MEI,6.4,3.5
37,Biel,110760,Bahia,ATA,10.0,6.949999999999999
38,Bitello,112140,Grêmio,MEI,5.95,8.2
39,Boschilia,86841,Coritiba,MEI,3.5999999999999996,5.0249999999999995
40,Breno,122991,América-MG,MEI,4.333333333333333,2.4
41,Breno Lopes,93988,Palmeiras,ATA,0.2,1.9666666666666668
42,Bruninho,113558,Bragantino,MEI,-0.5,2.9
43,Bruno Alves,73620,Grêmio,ZAG,2.4000000000000004,0.0
