,mandante,visitante,odds_mandante_percent,odds_empate_percent,odds_visitante_percent,odds_mandante,odds_empate,odds_visitante
0,Cruzeiro,Atlético-MG,28.011204481792717,38.02281368821293,37.03703703703704,3.57,2.63,2.7
1,Athletico-PR,Botafogo,34.96503496503497,38.02281368821293,30.03003003003003,2.86,2.63,3.33
2,Fortaleza,Bahia,46.08294930875576,37.03703703703704,20.0,2.17,2.7,5.0
3,América-MG,Corinthians,34.01360544217687,39.0625,30.03003003003003,2.94,2.56,3.33
4,Fluminense,Bragantino,46.08294930875576,37.03703703703704,20.0,2.17,2.7,5.0
5,Palmeiras,Coritiba,64.1025641025641,30.959752321981426,8.0,1.56,3.23,12.5
6,Santos,Internacional,37.03703703703704,37.03703703703704,28.985507246376812,2.7,2.7,3.45
7,Goiás,Cuiabá,38.02281368821293,37.03703703703704,28.011204481792717,2.63,2.7,3.57
8,Grêmio,São Paulo,40.0,37.03703703703704,25.97402597402597,2.5,2.7,3.85
9,Vasco,Flamengo,25.97402597402597,39.0625,38.02281368821293,3.85,2.56,2.63
