,mandante,visitante,prob_vitoria_mandante,prob_empate,prob_vitoria_visitante,prob_sg_mandante,prob_sg_visitante
0,São Paulo,Athletico-PR,47.818521441132624,26.575777259688987,25.60566203917548,37.511176009477204,23.57636278121761
1,Cruzeiro,Fortaleza,42.1234738003637,33.28568565819302,24.590839366643053,49.78774902964507,36.296486263373566
2,Santos,Corinthians,47.80644148746529,35.692213613955346,16.501344069201302,63.87275139761432,37.487873312416845
3,Fluminense,Atlético-MG,36.979952887904,28.537426163670798,34.482613451606625,32.867348517155506,31.254074655731472
4,Bahia,Palmeiras,10.498455617486528,17.804017643547123,71.69545917629047,10.962161185162188,49.193253491450875
5,Grêmio,América-MG,76.96350873067166,12.566270606815852,10.409219803062616,29.433855814746003,3.756301883466743
6,Vasco,Goiás,47.87951139808132,24.16712649788943,27.95320411336987,29.596386681164283,18.895563232945804
7,Coritiba,Internacional,31.12499098478135,28.211804287245673,40.66319403600441,28.771985198686163,34.90891238277261
8,Cuiabá,Botafogo,12.482247042317303,26.250919748465247,61.26678800078966,23.00735031630511,60.65144966887293
9,Bragantino,Flamengo,38.65181874937787,22.864511872865194,38.48336003688232,18.84971731504696,18.774076596236082
