,clube,P,GP,GC,SG,Fase,ranking
0,Botafogo,40,28,9,19,13,1
1,Grêmio,30,25,20,5,10,2
2,Palmeiras,28,28,14,14,6,3
3,Flamengo,28,28,19,9,9,4
4,Athletico-PR,26,22,18,4,10,5
5,São Paulo,25,23,16,7,7,6
6,Bragantino,25,22,16,6,8,7
7,Fluminense,25,21,16,5,7,8
8,Fortaleza,23,17,15,2,6,9
9,Internacional,23,13,16,-3,6,10
10,Cruzeiro,22,16,12,4,8,11
11,Cuiabá,22,16,18,-2,10,12
12,Atlético-MG,21,18,15,3,2,13
13,Corinthians,17,12,17,-5,5,14
14,Santos,17,18,25,-7,4,15
15,Goiás,15,15,26,-11,4,16
16,Bahia,14,15,23,-8,2,17
17,Coritiba,14,16,28,-12,10,18
18,América-MG,11,17,33,-16,3,19
19,Vasco,10,11,25,-14,4,20
