,clube,xP,ranking_xp
0,Palmeiras,26.84,1
1,Atlético-MG,25.71,2
2,Fortaleza,24.97,3
3,Botafogo,23.89,4
4,Cruzeiro,23.89,4
5,Athletico-PR,23.65,6
6,Bragantino,23.530000000000005,7
7,São Paulo,22.96,8
8,Bahia,22.900000000000002,9
9,Cuiabá,22.400000000000002,10
10,Fluminense,20.849999999999998,11
11,América-MG,20.330000000000002,12
12,Grêmio,20.099999999999998,13
13,Flamengo,19.689999999999998,14
14,Goiás,19.16,15
15,Coritiba,18.94,16
16,Internacional,18.57,17
17,Vasco,18.400000000000002,18
18,Santos,17.77,19
19,Corinthians,15.520000000000001,20
